N	2gram	Medvedev_U_1	Narrotol
1	не только	10	32
2	может быть	6	25
3	но и	4	23
4	и не	8	20
5	и в	14	19
6	в том	2	18
7	в этом	7	17
8	в частности	3	14
9	том что	2	14
10	не в	2	14
11	а не	10	12
12	то что	7	11
13	не может	7	10
14	в его	2	9
15	с другой	4	8
16	в себе	2	8
17	и т.д	3	7
18	как и	3	7
19	все же	3	7
20	с его	2	6
21	что он	2	6
22	но не	2	6
23	но в	3	6
24	по себе	2	5
25	не все	2	5
26	в этой	4	5
27	прежде всего	8	4
28	то же	5	4
29	в противовес	2	4
30	если не	2	4
31	же время	3	4
32	было бы	3	4
33	хотя бы	5	4
34	другой стороны	3	4
35	не столько	2	4
36	только в	2	4
37	и с	2	4
38	же не	2	4
39	ни было	3	3
40	могут быть	2	3
41	не есть	2	3
42	бы то	3	3
43	то ни	3	3
44	этом отношении	2	3
45	сводится к	2	3
46	между тем	2	3
47	тем что	2	3
48	не о	3	3
49	в конечном	4	3
50	в то	3	3
51	должна быть	2	2
52	конечном счете	4	2
53	не как	3	2
54	на первый	2	2
55	по существу	2	2
56	для него	3	2
57	как раз	2	2
58	и только	5	2
59	самом деле	2	2
60	что мы	2	2
61	одним из	2	2
62	и для	2	2
63	это не	3	2
64	не случайно	2	2
65	ничего не	2	2
66	о чем	2	2
