N	2gram	Tiupa_Disk_1	Myshleni
1	точки зрения	3	26
2	таким образом	3	26
3	в том	23	24
4	и в	16	23
5	том что	19	21
6	в целом	4	20
7	то что	5	17
8	в этом	15	17
9	не только	28	16
10	того что	3	15
11	что в	4	14
12	может быть	17	14
13	но и	14	14
14	как и	16	14
15	в его	7	14
16	не может	9	12
17	как бы	5	11
18	сказать что	3	11
19	представляет собой	17	11
20	с другой	10	10
21	прежде всего	11	10
22	в качестве	34	9
23	одной стороны	9	9
24	не является	4	9
25	другой стороны	3	9
26	и не	11	9
27	между тем	4	9
28	внутренней речи	2	9
29	в ходе	3	8
30	с одной	9	8
31	заключается в	3	8
32	и на	5	8
33	в основе	7	8
34	в процессе	5	8
35	то же	7	8
36	речи как	2	8
37	как уже	3	7
38	в этой	2	7
39	в самом	3	7
40	по отношению	9	7
41	в то	3	7
42	что он	4	7
43	отношению к	9	7
44	и ее	2	7
45	в другом	2	7
46	столь же	3	6
47	и тем	2	6
48	именно в	3	6
49	лишь в	4	6
50	потому что	4	6
51	с этим	3	6
52	в силу	5	6
53	о том	8	6
54	в сущности	2	6
55	мысли и	2	6
56	и его	2	6
57	тем что	3	6
58	в себе	7	6
59	только в	7	6
60	в какой	2	5
61	перед нами	3	5
62	можно сказать	5	5
63	и как	6	5
64	по себе	3	5
65	в своих	3	5
66	и все	2	5
67	но в	8	5
68	между собой	2	5
69	по своей	11	5
70	и что	2	5
71	так и	8	5
72	как мы	2	5
73	и т.д	4	5
74	но не	11	4
75	в свою	3	4
76	не в	7	4
77	при этом	13	4
78	в котором	5	4
79	по мере	2	4
80	целый ряд	2	4
81	с его	4	4
82	одну из	2	4
83	в одном	2	4
84	к этому	2	4
85	и к	4	4
86	к тому	5	4
87	для себя	4	4
88	в своей	5	4
89	как в	10	4
90	приводит к	2	4
91	а с	5	4
92	хотя бы	3	4
93	уже в	2	3
94	в своем	6	3
95	одного из	2	3
96	свою очередь	3	3
97	общения и	2	3
98	том чтобы	2	3
99	в их	5	3
100	отношения к	2	3
101	в которых	4	3
102	в одной	3	3
103	же самое	2	3
104	в новом	2	3
105	не могло	2	3
106	об этом	2	3
107	во всех	5	3
108	все же	3	3
109	а не	22	3
110	во всяком	2	3
111	могут быть	4	3
112	всей его	2	3
113	связи с	4	3
114	в противоположность	2	2
115	в частности	9	2
116	никогда не	2	2
117	или даже	2	2
118	жизни сознания	2	2
119	на этом	2	2
120	же время	4	2
121	что с	2	2
122	для него	4	2
123	о чем	2	2
124	хотя и	2	2
125	один из	3	2
126	не с	3	2
127	данном случае	2	2
128	значительной степени	2	2
129	сознания в	2	2
130	и даже	3	2
131	а в	5	2
132	это понятие	3	2
133	к его	2	2
134	о котором	2	2
135	в первом	3	2
136	в них	4	2
137	в ее	3	2
138	в значительной	2	2
139	чем он	2	2
140	указывает на	2	2
141	своей природе	2	2
142	за пределы	2	2
143	иначе говоря	2	2
144	на ее	2	2
145	и потому	3	2
146	в равной	2	2
147	строго говоря	2	2
148	когда он	2	2
149	к мысли	2	2
150	уже не	4	2
151	в данном	5	2
152	заметить что	2	2
153	едва ли	2	2
