N	3gram	Bakhtin_fo_2	FransuaR
1	то же время	4	9
2	в то же	4	9
3	еды и питья	15	9
4	в романе рабле	5	7
5	в том что	3	6
6	для того чтобы	7	6
7	в этом отношении	2	5
8	в связи с	7	5
9	в том числе	3	4
10	в эпизоде с	3	4
11	связи с этим	2	3
12	до сих пор	2	3
13	кн iii гл	4	3
14	и во всех	2	3
15	и прежде всего	3	3
16	том числе и	2	2
17	кн i гл	15	2
18	друг с другом	4	2
19	в другом месте	2	2
20	с точки зрения	8	2
21	то же самое	2	2
22	в большинстве случаев	3	2
23	мы уже говорили	3	2
24	в средние века	3	2
25	о том как	3	2
26	шута и дурака	6	2
