N	2gram	Berdyaev_O_1	Komedia
1	и в	19	26
2	и не	13	14
3	так и	2	12
4	и его	4	12
5	в том	5	11
6	может быть	11	11
7	но и	13	10
8	в этом	12	10
9	что в	4	9
10	том что	2	9
11	было бы	3	8
12	и на	2	7
13	не только	11	7
14	что и	2	7
15	в своем	2	6
16	то что	5	6
17	еще не	3	6
18	в нем	10	6
19	того чтобы	4	6
20	потому что	9	6
21	о том	3	6
22	с его	4	5
23	с тем	2	5
24	в которой	2	5
25	к этому	2	5
26	что он	3	5
27	в истории	2	5
28	для того	3	5
29	так что	2	5
30	и с	2	5
31	уже в	2	4
32	у него	22	4
33	в этих	3	4
34	что у	2	4
35	и от	3	4
36	прежде всего	9	4
37	сразу же	2	4
38	о его	5	4
39	как и	6	4
40	хотя и	2	4
41	в его	7	4
42	все же	2	4
43	в самом	5	4
44	и для	2	4
45	что для	2	4
46	так как	2	4
47	его в	2	4
48	это было	3	4
49	вопрос о	10	3
50	никто не	3	3
51	не имеет	2	3
52	в своей	2	3
53	все это	6	3
54	не было	9	3
55	в самой	9	3
56	к нему	3	3
57	а в	5	3
58	человека в	11	3
59	тем что	2	3
60	не может	4	3
61	в этой	5	3
62	но в	2	3
63	и есть	3	2
64	это не	3	2
65	и к	2	2
66	он был	8	2
67	в ее	2	2
68	не в	11	2
69	чем в	2	2
70	он не	7	2
71	как бы	3	2
72	же можно	2	2
73	в уста	2	2
74	чем на	3	2
75	хотя бы	3	2
76	отношение к	5	2
77	всего в	2	2
78	в других	2	2
79	одно из	2	2
80	и ее	3	2
81	и все	10	2
82	человеку и	5	2
