N	2gram	Tiupa_Lite_2	VLabPisa
1	в этом	9	26
2	и в	19	25
3	и т	2	24
4	не только	8	22
5	может быть	17	21
6	хотя бы	2	20
7	и не	11	19
8	художественного творчества	2	18
9	не может	9	17
10	в его	4	15
11	прежде всего	4	13
12	в том	10	13
13	этом отношении	3	13
14	в частности	4	12
15	как это	2	12
16	с другой	8	11
17	из них	2	11
18	в качестве	5	10
19	о том	2	10
20	в художественном	2	10
21	что в	4	9
22	для него	4	9
23	и др	3	9
24	но и	10	9
25	то же	12	9
26	т п	2	9
27	другой стороны	4	8
28	могут быть	2	8
29	в году	5	7
30	же в	2	7
31	как и	10	7
32	том что	7	7
33	было бы	2	7
34	в конечном	5	7
35	отношению к	3	7
36	во всех	3	7
37	вместе с	5	7
38	по отношению	4	7
39	не было	2	7
40	а не	20	7
41	у него	2	6
42	в себе	6	6
43	то что	7	6
44	в нем	3	6
45	так и	7	6
46	и его	3	6
47	в то	9	6
48	в результате	2	5
49	же время	9	5
50	конечном счете	5	5
51	все же	2	5
52	очевидно что	2	5
53	в искусстве	4	5
54	одним из	3	5
55	как бы	2	5
56	один из	4	5
57	в их	3	5
58	не в	4	5
59	не является	2	5
60	никогда не	3	4
61	творчества как	2	4
62	в одном	2	4
63	в целом	2	4
64	что он	3	4
65	в ее	2	4
66	одна из	5	4
67	даже в	4	4
68	как раз	2	4
69	в них	2	4
70	в этой	3	4
71	в противоположность	2	3
72	и к	2	3
73	с тем	2	3
74	и как	3	3
75	даже и	2	3
76	в конце	2	3
77	одном из	2	3
78	у нас	5	3
79	по существу	3	3
80	но как	2	3
81	что не	2	3
82	и он	3	3
83	в виду	2	3
84	что и	2	3
85	жизни и	4	3
86	того что	5	3
87	при всем	2	3
88	как на	3	3
89	точки зрения	4	3
90	всего лишь	3	3
91	не менее	6	2
92	том числе	2	2
93	в стихотворении	13	2
94	в каждом	2	2
95	в стихах	8	2
96	по крайней	2	2
97	в жизни	2	2
98	вовсе не	2	2
99	из своих	2	2
100	крайней мере	2	2
101	а затем	2	2
102	ли не	4	2
103	но не	5	2
104	еще не	2	2
105	одной стороны	6	2
106	для того	2	2
107	он и	2	2
108	одной из	2	2
109	в образах	2	2
110	том чтобы	3	2
111	в ней	4	2
112	и даже	8	2
113	не вполне	2	2
114	отнюдь не	4	2
115	если в	2	2
116	не по	2	2
117	а в	3	2
118	с одной	7	2
119	но с	3	2
120	при всей	2	2
121	человека в	4	2
122	из которых	2	2
123	и для	3	2
124	тому как	2	2
125	в своих	2	2
126	не столько	3	2
127	он не	5	2
128	подобно тому	2	2
129	в другом	3	2
130	ту же	2	2
131	как он	2	2
132	в области	4	2
133	же как	2	2
134	могло бы	2	2
135	но в	2	2
