N	2gram	Losev_Prob_5	StatiiOP
1	и в	30	44
2	в том	12	36
3	что в	5	30
4	том что	17	29
5	в этом	17	21
6	вовсе не	8	19
7	то что	18	18
8	не только	18	18
9	было бы	4	17
10	а в	6	17
11	о том	12	17
12	и не	12	16
13	а не	5	16
14	может быть	7	15
15	в данном	2	14
16	в области	2	14
17	как в	2	13
18	можно было	2	13
19	не в	7	12
20	в первой	2	12
21	у нас	7	11
22	в этой	10	11
23	самом деле	2	11
24	того чтобы	2	11
25	точки зрения	10	11
26	ясно что	4	10
27	для того	3	10
28	что он	7	10
29	но и	13	10
30	но в	9	10
31	только в	9	10
32	в отношении	3	9
33	с другой	6	9
34	в то	4	9
35	как и	7	9
36	того что	3	9
37	также и	12	9
38	так и	7	9
39	в его	12	9
40	все же	9	8
41	из них	2	8
42	не может	5	8
43	и его	6	8
44	это не	2	8
45	с точки	8	8
46	я не	2	7
47	прежде всего	6	7
48	по поводу	2	7
49	в самом	5	7
50	для нас	10	7
51	сих пор	2	7
52	до сих	2	7
53	другой стороны	6	7
54	таким образом	13	7
55	сказать что	9	7
56	что они	3	7
57	потому что	13	6
58	так что	11	6
59	что и	6	6
60	в своей	22	6
61	данном случае	2	6
62	именно в	3	6
63	во всяком	2	6
64	дело в	2	6
65	хотя бы	2	6
66	всяком случае	2	6
67	не менее	5	5
68	никогда не	7	5
69	была бы	2	5
70	так же	5	5
71	в котором	2	5
72	в нем	6	5
73	жизни и	2	5
74	xix в	4	5
75	то же	2	5
76	и даже	14	5
77	и то	5	5
78	тем что	2	5
79	все эти	2	5
80	так как	6	5
81	по словам	2	4
82	в частности	4	4
83	гораздо более	4	4
84	представление о	2	4
85	мы находим	7	4
86	во времена	2	4
87	в ее	3	4
88	но все	4	4
89	и что	6	4
90	в качестве	4	4
91	как раз	5	4
92	как бы	6	4
93	на то	2	4
94	еще более	3	4
95	что у	5	4
96	и сейчас	2	4
97	во втором	2	4
98	как будто	3	4
99	в которой	5	4
100	за что	4	4
101	а с	4	3
102	по этому	2	3
103	для себя	5	3
104	в какой	2	3
105	и с	5	3
106	с этой	2	3
107	в конце	8	3
108	ни в	4	3
109	он был	2	3
110	да и	2	3
111	об этом	4	3
112	в начале	3	3
113	но не	7	3
114	того же	4	3
115	и без	2	3
116	еще не	3	3
117	что не	2	3
118	и для	6	3
119	в ней	3	3
120	не все	2	3
121	и тем	3	3
122	отношению к	2	3
123	и за	2	3
124	говорит о	7	3
125	а именно	12	3
126	внимание на	3	3
127	по отношению	2	3
128	и только	2	3
129	по мнению	2	3
130	в виде	10	3
131	с одной	3	3
132	за то	2	3
133	тем же	3	3
134	в таком	2	3
135	и вполне	4	3
136	в чем	2	3
137	в результате	7	3
138	что касается	3	3
139	обстоятельство что	2	3
140	в другом	3	3
141	и вообще	9	3
142	будто бы	5	3
143	между тем	2	3
144	что от	3	2
145	том числе	2	2
146	уже в	2	2
147	совсем не	3	2
148	бы не	3	2
149	нисколько не	5	2
150	даже и	4	2
151	в своем	11	2
152	как о	4	2
153	по крайней	4	2
154	больше чем	2	2
155	представляет собою	2	2
156	не всегда	3	2
157	крайней мере	4	2
158	раз в	2	2
159	ли не	2	2
160	по существу	2	2
161	и более	2	2
162	если не	4	2
163	есть в	2	2
164	при этом	4	2
165	то время	3	2
166	одной стороны	3	2
167	и сам	4	2
168	со всеми	2	2
169	находим и	2	2
170	несмотря на	6	2
171	в комментарии	2	2
172	при его	2	2
173	но для	2	2
174	а также	3	2
175	тем не	5	2
176	отношение к	2	2
177	такого рода	2	2
178	конечно не	2	2
179	на него	2	2
180	без всякого	2	2
181	и их	5	2
182	и речи	2	2
183	и тогда	2	2
184	еще и	4	2
185	в эпоху	3	2
186	и у	5	2
187	свидетельствует о	2	2
188	есть только	3	2
189	по его	2	2
190	в других	3	2
191	мы не	2	2
192	ничего не	2	2
193	что этот	5	2
194	жил в	2	2
195	можно найти	6	2
196	от этого	3	2
197	в м	2	2
198	у него	11	2
199	мере в	2	2
200	он не	3	2
201	но он	5	2
202	в себе	4	2
203	по своей	2	2
204	о котором	3	2
205	что здесь	2	2
206	этому поводу	2	2
207	все в	3	2
208	и все	9	2
209	его в	6	2
210	при помощи	6	2
211	ли в	2	2
212	к нему	3	2
213	или же	2	2
214	мы имеем	2	2
215	время как	3	2
216	гораздо больше	2	2
217	то есть	21	2
