N	2gram	Savitsky_E_1	Hudozhes
1	и в	37	28
2	том что	6	19
3	в ее	8	18
4	и не	14	18
5	в том	11	15
6	а не	2	14
7	не в	5	13
8	в этом	12	13
9	о том	3	12
10	как и	7	11
11	в его	2	11
12	не только	18	11
13	но и	14	9
14	в себе	9	9
15	может быть	6	8
16	так и	10	8
17	между тем	8	8
18	жизни в	3	7
19	и все	2	7
20	к тому	8	7
21	в мире	2	7
22	в частности	5	7
23	как это	4	7
24	можно сказать	4	6
25	в котором	2	6
26	то что	6	6
27	жизни и	2	6
28	в своей	8	6
29	если бы	2	6
30	то же	15	6
31	а в	2	6
32	и с	2	6
33	тем что	3	6
34	в то	16	6
35	что это	2	5
36	в своем	14	5
37	как бы	6	5
38	как в	3	5
39	в этой	2	5
40	что в	21	5
41	она не	2	5
42	в самом	4	5
43	наряду с	2	5
44	никогда не	3	5
45	бы и	3	4
46	говорит о	3	4
47	то в	4	4
48	но не	5	4
49	в качестве	14	4
50	же время	14	4
51	для того	6	4
52	вслед за	6	4
53	он не	2	4
54	что и	3	4
55	не может	9	4
56	того чтобы	6	4
57	как будто	2	4
58	только в	9	4
59	в других	2	4
60	в них	3	3
61	столь же	5	3
62	с другой	7	3
63	в одном	2	3
64	что все	2	3
65	прежде всего	9	3
66	что на	2	3
67	для нас	4	3
68	одной стороны	8	3
69	было бы	8	3
70	несмотря на	4	3
71	одной из	5	3
72	по преимуществу	2	3
73	в ней	4	3
74	в этих	2	3
75	со стороны	5	3
76	с одной	8	3
77	так же	9	3
78	или в	2	3
79	можно было	3	3
80	с другими	2	3
81	и на	6	3
82	на себя	3	3
83	к нему	2	3
84	всего лишь	3	3
85	место в	3	2
86	он сам	2	2
87	т е	9	2
88	отнюдь не	9	2
89	именно в	4	2
90	и от	3	2
91	вовсе не	6	2
92	или иного	4	2
93	или иной	4	2
94	как мы	5	2
95	она в	3	2
96	же как	5	2
97	но именно	2	2
98	и к	3	2
99	того или	4	2
100	к ней	4	2
101	а также	7	2
102	если в	2	2
103	не является	3	2
104	не будет	3	2
105	как же	2	2
106	во второй	3	2
107	из них	3	2
108	вместе с	2	2
109	данном случае	2	2
110	что же	2	2
111	но еще	2	2
112	как на	3	2
113	потребность в	3	2
114	во втором	2	2
115	тем самым	5	2
116	не более	3	2
117	более чем	2	2
118	и эта	2	2
119	между ними	2	2
120	хотя бы	15	2
121	и для	3	2
122	с точки	17	2
123	в данном	3	2
124	и то	2	2
125	сказать что	4	2
126	потому что	3	2
127	в виде	5	2
128	точки зрения	23	2
129	к той	2	2
130	себе в	3	2
131	и только	3	2
132	но в	14	2
