N	2gram	Medvedev_V_1	Russkaja
1	не может	17	22
2	и не	19	19
3	в том	15	17
4	в этом	26	17
5	и в	26	14
6	то что	6	13
7	таким образом	31	11
8	то же	10	11
9	точки зрения	3	11
10	же время	5	10
11	но и	10	10
12	в то	6	10
13	том что	8	9
14	не только	25	9
15	в себе	6	9
16	может быть	22	9
17	прежде всего	13	8
18	того чтобы	3	8
19	как на	3	8
20	отнюдь не	3	7
21	к тому	4	7
22	самого себя	2	7
23	о том	10	7
24	если бы	3	6
25	что он	4	6
26	и к	3	6
27	и при	5	6
28	с тем	3	6
29	для него	8	6
30	для того	3	6
31	если в	2	6
32	все это	10	6
33	в своем	8	6
34	и для	2	6
35	в своих	2	6
36	хотя бы	19	5
37	или иной	2	5
38	было бы	7	5
39	в своей	4	5
40	он не	2	5
41	никогда не	4	5
42	в нем	6	5
43	во всех	6	5
44	по существу	3	5
45	из которых	2	5
46	а в	3	5
47	только в	7	5
48	между тем	5	5
49	но не	2	4
50	не могут	7	4
51	что в	10	4
52	тогда когда	2	4
53	как и	7	4
54	более или	6	4
55	ли это	2	4
56	как бы	5	4
57	себе и	2	4
58	все же	5	4
59	жизни и	3	4
60	вместе с	7	4
61	от того	2	4
62	или менее	6	4
63	в их	5	4
64	приводит к	5	4
65	не в	6	4
66	можно было	2	4
67	в этой	4	4
68	в его	14	4
69	его в	3	4
70	он сам	2	3
71	может не	2	3
72	можно ли	2	3
73	именно в	2	3
74	из этих	7	3
75	в конце	3	3
76	что все	3	3
77	с нею	2	3
78	главным образом	7	3
79	всех этих	2	3
80	и как	3	3
81	в другом	2	3
82	лишь в	2	3
83	что они	3	3
84	должно быть	2	3
85	в качестве	11	3
86	еще не	2	3
87	в самом	4	3
88	сил и	3	3
89	ни одна	2	3
90	том чтобы	2	3
91	знаем что	2	3
92	и потому	2	3
93	и этот	2	3
94	то это	2	3
95	что и	3	3
96	и т	23	3
97	из них	9	3
98	все они	2	3
99	не было	7	3
100	что оно	3	3
101	сводится к	3	3
102	в значительной	3	3
103	того что	3	3
104	и по	3	3
105	что для	3	3
106	или в	3	3
107	говорить о	2	3
108	связи с	4	3
109	конце концов	2	3
110	одна из	4	3
111	в сознании	4	3
112	в порядке	5	2
113	зависит от	2	2
114	и есть	5	2
115	в частности	11	2
116	у него	6	2
117	по этому	9	2
118	но даже	3	2
119	не подлежит	2	2
120	и от	3	2
121	с этим	3	2
122	этот вопрос	3	2
123	представить себе	2	2
124	по себе	2	2
125	естественно что	2	2
126	является не	4	2
127	отличается от	2	2
128	она не	3	2
129	видеть в	2	2
130	но для	2	2
131	в ней	2	2
132	на это	2	2
133	могут не	2	2
134	в котором	3	2
135	этом и	2	2
136	некоторых из	2	2
137	ее в	4	2
138	на основании	8	2
139	даже не	2	2
140	тому что	6	2
141	по отношению	7	2
142	это только	4	2
143	в течение	2	2
144	все эти	6	2
145	а не	7	2
146	значительной мере	3	2
147	что такое	2	2
148	и наконец	2	2
149	и даже	2	2
150	так же	3	2
151	том же	6	2
152	в результате	5	2
153	их в	6	2
154	в силу	11	2
155	не о	2	2
156	даже и	3	2
157	во время	3	2
158	того или	2	2
159	только с	2	2
160	отметить что	2	2
161	в области	2	2
162	но в	2	2
