N	2gram	Vinokur_St_2	formyVre
1	и в	29	50
2	в романе	4	32
3	в этом	21	25
4	в нем	4	24
5	и его	6	16
6	прежде всего	5	15
7	и не	9	14
8	вовсе не	6	13
9	как раз	8	13
10	в его	13	13
11	по существу	2	12
12	так и	9	12
13	может быть	2	11
14	таким образом	10	11
15	то же	2	11
16	и как	2	10
17	времени и	4	10
18	но в	8	10
19	в конце	2	9
20	в том	27	9
21	и др	2	9
22	в особенности	2	9
23	все эти	2	9
24	в то	2	9
25	не только	19	9
26	с его	2	9
27	ничего не	4	9
28	в самом	7	8
29	и т	9	8
30	но и	19	8
31	и на	6	8
32	как и	2	8
33	того же	2	8
34	ни в	3	8
35	т п	3	8
36	не было	3	7
37	это время	2	7
38	все же	6	6
39	в частности	4	6
40	например в	3	6
41	в их	3	6
42	не может	2	6
43	так же	3	6
44	в результате	2	6
45	так как	2	6
46	с этим	3	6
47	связи с	4	6
48	то что	11	6
49	в ее	2	6
50	как в	3	6
51	что в	19	5
52	и другие	2	5
53	в образе	3	5
54	не в	4	5
55	точки зрения	5	5
56	но все	7	5
57	если бы	2	5
58	но не	3	5
59	он не	9	5
60	не могло	3	5
61	и речи	2	5
62	того чтобы	6	5
63	для того	7	5
64	в роман	2	4
65	в своем	9	4
66	кроме того	4	4
67	до конца	3	4
68	в котором	7	4
69	могло быть	3	4
70	все это	11	4
71	не имеет	2	4
72	конечно и	2	4
73	потому что	9	4
74	и с	4	4
75	в ней	7	4
76	в них	2	4
77	раз в	2	4
78	в процессе	2	4
79	в той	5	4
80	том что	27	4
81	только в	2	4
82	и это	2	4
83	в этих	3	3
84	в отношении	2	3
85	к тому	10	3
86	с тем	7	3
87	при этом	2	3
88	xviii века	2	3
89	хотя и	4	3
90	в виду	7	3
91	этом отношении	9	3
92	именно в	4	3
93	они не	2	3
94	вообще не	3	3
95	и те	2	3
96	сказать что	2	3
97	в начале	3	3
98	его в	2	3
99	в одном	6	3
100	но они	2	3
101	а как	4	3
102	к этому	4	3
103	что было	2	3
104	в качестве	5	3
105	одной из	3	3
106	и потому	2	3
107	только к	2	3
108	что и	2	3
109	вместе с	7	3
110	сих пор	5	3
111	еще более	4	3
112	а не	5	3
113	во всяком	3	3
114	в себе	2	3
115	до сих	6	3
116	самого начала	3	2
117	же как	3	2
118	никогда не	3	2
119	о своей	2	2
120	в течение	6	2
121	с другой	4	2
122	была бы	5	2
123	вопрос о	6	2
124	разумеется что	4	2
125	тому же	3	2
126	с самого	3	2
127	для него	4	2
128	не к	2	2
129	в некоторых	2	2
130	ни с	2	2
131	еще и	3	2
132	к своему	2	2
133	того что	5	2
134	и даже	3	2
135	и по	3	2
136	также и	2	2
137	но он	3	2
138	в истории	2	2
139	как он	2	2
140	во многом	2	2
141	из нее	3	2
142	не является	3	2
143	по себе	3	2
144	и к	4	2
145	об этом	6	2
146	в трагедии	17	2
147	было бы	5	2
148	в это	2	2
149	том же	2	2
150	а также	2	2
151	на почве	2	2
152	нет и	2	2
153	оно не	3	2
154	в своей	7	2
155	как бы	5	2
156	ее в	2	2
157	совершенно не	2	2
158	в отличие	2	2
159	в значительной	2	2
160	с точки	2	2
161	хотя бы	3	2
162	в которой	11	2
163	в данном	2	2
164	тем что	3	2
165	на себя	3	2
166	в каком	2	2
167	выражение в	2	2
168	и вообще	2	2
169	дело в	4	2
170	там где	2	2
171	отличие от	2	2
