N	2gram	Vinokur_Ku_3	Analitik
1	не только	17	22
2	и в	23	18
3	как и	5	14
4	так и	6	14
5	в этом	16	14
6	но и	3	13
7	в частности	2	12
8	том что	11	12
9	в качестве	2	12
10	и не	10	12
11	при этом	6	11
12	а в	5	10
13	как бы	5	10
14	может быть	14	9
15	что в	13	9
16	а не	11	9
17	в том	22	9
18	своего рода	2	8
19	не случайно	4	8
20	с другой	7	7
21	но не	3	7
22	в его	11	7
23	отношению к	2	7
24	как раз	4	7
25	по отношению	3	7
26	к тому	3	6
27	не в	5	6
28	еще не	9	6
29	он не	3	6
30	в их	6	6
31	о том	6	6
32	однако в	2	5
33	прежде всего	9	5
34	или иной	7	5
35	того же	4	5
36	в самом	13	5
37	что и	6	5
38	другой стороны	3	5
39	в сущности	4	5
40	лишь в	8	5
41	уже не	8	5
42	той же	3	5
43	в слове	4	5
44	в результате	3	5
45	между тем	4	5
46	мы имеем	2	5
47	я в	3	5
48	не менее	12	4
49	о чем	2	4
50	отнюдь не	3	4
51	в своем	4	4
52	столь же	4	4
53	в одном	2	4
54	состоит в	2	4
55	по себе	6	4
56	что он	6	4
57	можно сказать	2	4
58	и к	3	4
59	и как	2	4
60	в пределах	2	4
61	не есть	3	4
62	все же	5	4
63	внимание на	2	4
64	таким образом	9	4
65	тем самым	4	4
66	однако что	4	4
67	в данном	7	4
68	далеко не	5	4
69	уже в	3	3
70	в рамках	5	3
71	были бы	4	3
72	и без	2	3
73	не столько	4	3
74	из этих	5	3
75	в ее	4	3
76	тому же	3	3
77	и того	2	3
78	что они	2	3
79	было бы	16	3
80	по поводу	3	3
81	той или	5	3
82	в целом	4	3
83	дело не	2	3
84	данном случае	4	3
85	как в	4	3
86	все это	2	3
87	так в	2	3
88	то же	6	3
89	не было	4	3
90	еще и	2	3
91	именно в	3	3
92	путь к	2	3
93	что не	4	3
94	мы не	3	3
95	ничего не	6	3
96	точки зрения	23	3
97	одного и	2	3
98	но как	3	3
99	говорить о	6	3
100	в то	3	3
101	его в	2	3
102	здесь не	2	3
103	в особенности	2	3
104	как это	7	3
105	я и	3	3
106	сама по	2	2
107	бы и	3	2
108	могут быть	6	2
109	все эти	7	2
110	все они	2	2
111	а вот	2	2
112	это не	3	2
113	не как	2	2
114	есть не	3	2
115	в тех	2	2
116	но сам	2	2
117	тем не	9	2
118	в дальнейшем	2	2
119	тот или	2	2
120	то в	3	2
121	с тем	6	2
122	по своему	2	2
123	очевидно что	3	2
124	не более	2	2
125	тех пор	4	2
126	одной стороны	4	2
127	это и	3	2
128	в общем	6	2
129	совершенно не	5	2
130	иначе говоря	2	2
131	по преимуществу	3	2
132	хотя и	5	2
133	в ней	3	2
134	а также	4	2
135	свое время	2	2
136	один из	4	2
137	не с	2	2
138	то что	4	2
139	в первом	5	2
140	когда он	2	2
141	вместе с	2	2
142	что она	5	2
143	не может	6	2
144	в отличие	2	2
145	как к	2	2
146	с одной	4	2
147	те же	7	2
148	и вот	3	2
149	который как	2	2
150	в той	4	2
151	самом деле	14	2
152	более чем	2	2
153	с точки	16	2
154	тому как	2	2
155	сказать что	7	2
156	во всяком	2	2
157	тем что	5	2
158	на себя	2	2
159	и здесь	2	2
160	что мы	2	2
161	только в	6	2
162	вопроса о	3	2
163	этого слова	4	2
164	в свое	2	2
165	так сказать	2	2
166	там где	3	2
167	когда мы	3	2
168	отличие от	2	2
169	или иным	2	2
170	но в	2	2
171	и следует	2	2
