N	2gram	Losev_Dial_3	Otkroven
1	у него	2	22
2	и в	24	19
3	но и	9	13
4	и не	27	13
5	в этом	8	12
6	а не	26	11
7	не в	3	11
8	может быть	13	11
9	не только	23	11
10	и все	6	10
11	вопрос о	5	10
12	в нем	3	10
13	никогда не	7	9
14	не было	3	9
15	потому что	7	9
16	прежде всего	8	9
17	и он	2	8
18	нет ничего	9	7
19	он не	5	7
20	в его	2	7
21	все это	6	6
22	как и	7	6
23	то что	14	5
24	а в	2	5
25	в том	5	5
26	для него	4	5
27	в самом	7	5
28	с его	2	4
29	всегда есть	5	4
30	т е	48	4
31	только и	2	4
32	что не	5	4
33	и его	5	4
34	все эти	3	4
35	не может	19	4
36	что в	7	4
37	к нему	3	3
38	не могут	4	3
39	только одно	2	3
40	и есть	16	3
41	это не	4	3
42	и вот	2	3
43	что он	13	3
44	того что	12	3
45	для того	3	3
46	хотя бы	4	3
47	в своих	2	3
48	быть может	3	3
49	еще не	2	3
50	и от	3	3
51	могут быть	2	3
52	все что	3	3
53	и ее	3	3
54	в себе	2	3
55	было бы	5	3
56	никто не	2	3
57	о том	6	3
58	как бы	3	3
59	это было	3	3
60	с которой	2	2
61	все же	3	2
62	что и	6	2
63	не есть	54	2
64	ее в	2	2
65	и для	2	2
66	всего и	3	2
67	можно ли	5	2
68	в истории	4	2
69	природы и	2	2
70	так и	5	2
71	в своем	3	2
72	что у	2	2
73	что есть	4	2
74	что же	11	2
75	что все	14	2
76	все еще	2	2
77	ничего и	2	2
78	по себе	20	2
79	и к	5	2
80	не имеет	11	2
81	должно быть	3	2
82	его не	2	2
83	что для	5	2
84	их не	2	2
85	том что	8	2
86	так что	8	2
87	от самого	2	2
88	ничто не	2	2
89	и на	3	2
90	и то	4	2
91	сказать что	4	2
92	и с	6	2
93	учение о	8	2
94	тем что	3	2
95	личности и	5	2
96	одно из	5	2
97	даже и	7	2
98	и нет	7	2
99	ведь это	2	2
100	и ни	3	2
101	так как	6	2
102	и этим	3	2
103	и о	3	2
104	к этой	2	2
105	тогда уже	2	2
106	ничего не	17	2
107	хотя и	5	2
108	но в	2	2
109	и потому	2	2
110	же можно	2	2
