N	2gram	Bakhtin_Pr_1	VerxiiNi
1	и в	29	26
2	таким образом	12	22
3	в этом	22	15
4	точки зрения	19	13
5	как бы	19	12
6	в том	8	11
7	может быть	24	10
8	не только	15	10
9	и с	4	10
10	связи с	2	9
11	что в	8	9
12	но и	14	9
13	так как	6	9
14	с другой	3	8
15	но не	9	8
16	и не	31	8
17	и у	3	8
18	как на	3	8
19	том что	7	7
20	но все	5	7
21	к нему	6	7
22	то что	15	7
23	потому что	8	7
24	но в	7	7
25	в конце	6	6
26	и потому	6	6
27	несмотря на	6	6
28	всяком случае	3	6
29	что и	4	6
30	все же	9	6
31	так и	7	6
32	все это	6	6
33	в отношении	2	6
34	все эти	9	6
35	с точки	13	6
36	во всяком	5	6
37	в себе	7	6
38	мы должны	3	6
39	и к	2	5
40	отношение к	2	5
41	до сих	2	5
42	друг с	2	5
43	в его	24	5
44	никогда не	3	5
45	сих пор	2	5
46	так же	6	5
47	а не	22	5
48	и для	4	5
49	в мире	6	5
50	и от	2	4
51	что он	8	4
52	в нем	19	4
53	в смысле	2	4
54	из которых	2	4
55	в самом	10	4
56	в котором	2	4
57	не может	12	4
58	а в	7	4
59	то же	14	4
60	что оно	2	4
61	и что	2	4
62	на этот	2	4
63	с другими	7	4
64	в которых	2	4
65	он не	5	4
66	в то	10	4
67	только в	10	4
68	в этой	4	4
69	далеко не	3	4
70	если бы	9	3
71	хотя бы	2	3
72	для него	18	3
73	так что	2	3
74	и как	7	3
75	в своем	8	3
76	на западе	2	3
77	и нет	2	3
78	и о	5	3
79	отношению к	8	3
80	при этом	2	3
81	но с	3	3
82	уже не	13	3
83	и даже	2	3
84	в которой	2	3
85	с этой	2	3
86	в результате	4	3
87	конце концов	5	3
88	в одном	10	3
89	уже в	3	2
90	не могут	6	2
91	самого начала	2	2
92	с его	9	2
93	ни было	2	2
94	он в	3	2
95	именно в	5	2
96	одно из	2	2
97	перестает быть	4	2
98	в них	3	2
99	превращается в	4	2
100	не как	14	2
101	прежде всего	7	2
102	от них	2	2
103	с идеей	4	2
104	и здесь	3	2
105	сознании и	2	2
106	по существу	3	2
107	то ни	2	2
108	должна была	4	2
109	все что	3	2
110	же время	9	2
111	ни один	3	2
112	тот же	2	2
113	еще не	5	2
114	и перед	2	2
115	героев и	3	2
116	конечно не	2	2
117	один из	2	2
118	бы то	2	2
119	благодаря этому	2	2
120	жизни и	2	2
121	в процессе	4	2
122	по своим	2	2
123	приводит к	3	2
124	отличается от	3	2
125	не было	4	2
126	этом отношении	3	2
127	те же	2	2
128	в самой	6	2
129	одним из	6	2
130	наконец в	2	2
131	на пути	2	2
132	и на	7	2
133	сказать что	3	2
134	не в	7	2
135	и наконец	4	2
136	так чтобы	4	2
137	и это	5	2
138	в россии	2	2
139	не потому	2	2
140	между тем	5	2
