N	2gram	Berdyaev_V_1	Hudozhes
1	и в	16	28
2	том что	2	19
3	и не	20	18
4	в том	3	15
5	а не	7	14
6	не в	3	13
7	в этом	4	13
8	как и	4	11
9	в его	4	11
10	не только	2	11
11	уже не	2	10
12	но и	5	9
13	в жизни	3	8
14	что он	4	8
15	так и	4	8
16	между тем	2	8
17	и все	4	7
18	к тому	3	7
19	в мире	5	7
20	с ним	2	7
21	это не	2	6
22	в котором	4	6
23	то что	9	6
24	жизни и	3	6
25	в своей	3	6
26	не было	3	6
27	а в	2	6
28	тем что	2	6
29	с его	3	5
30	как бы	5	5
31	да и	2	5
32	что в	3	5
33	и сам	2	5
34	никогда не	3	5
35	для него	2	5
36	бы и	3	4
37	тому что	3	4
38	превращается в	3	4
39	но не	2	4
40	что они	7	4
41	вслед за	2	4
42	что и	3	4
43	и т	2	4
44	того чтобы	2	4
45	только в	2	4
46	а между	2	4
47	в них	3	3
48	человека и	6	3
49	что все	4	3
50	прежде всего	2	3
51	что было	2	3
52	в нем	4	3
53	для нас	2	3
54	все что	4	3
55	когда в	2	3
56	еще не	8	3
57	в ней	4	3
58	в этих	3	3
59	все это	5	3
60	а с	2	3
61	можно было	2	3
62	на себя	5	3
63	и это	2	3
64	эти люди	2	2
65	его и	2	2
66	давно уже	2	2
67	в духе	2	2
68	не с	2	2
69	что я	3	2
70	одна из	2	2
71	они и	2	2
72	что не	4	2
73	один из	2	2
74	оно не	3	2
75	людей в	3	2
76	не будет	2	2
77	от которого	3	2
78	к людям	6	2
79	и тогда	2	2
80	т д	2	2
81	лишь в	3	2
82	более чем	2	2
83	хотя бы	3	2
84	и для	3	2
85	и то	2	2
86	потому что	4	2
87	личности и	3	2
88	говорить о	4	2
89	нет ничего	3	2
90	быть личностью	2	2
91	но в	3	2
