N	2gram	Bakhtin_Pr_5	FransuaR
1	и в	35	56
2	то есть	16	24
3	в его	21	18
4	таким образом	7	17
5	все эти	3	15
6	в этом	14	14
7	в том	5	13
8	так и	8	13
9	и его	14	12
10	в то	11	12
11	в этих	2	11
12	до конца	4	11
13	как бы	31	11
14	и т.п	6	11
15	в них	4	11
16	то же	15	11
17	же время	10	10
18	еще не	7	10
19	мы уже	8	10
20	только в	6	9
21	в самом	6	9
22	но и	14	9
23	и не	27	9
24	том что	3	8
25	по своему	4	8
26	в сущности	14	8
27	не только	10	8
28	в нем	16	8
29	во всех	3	8
30	все это	14	8
31	и даже	5	8
32	и с	12	8
33	у него	4	7
34	в большинстве	2	7
35	уже говорили	5	7
36	как мы	8	7
37	и на	6	7
38	прежде всего	12	6
39	вовсе не	7	6
40	в ее	3	6
41	в той	4	6
42	той же	2	6
43	потому что	8	6
44	на его	4	6
45	точки зрения	7	6
46	и все	15	6
47	большинстве случаев	2	6
48	но в	19	6
49	но не	6	5
50	с его	7	5
51	никогда не	4	5
52	в отношении	9	5
53	в пределах	11	5
54	с ее	3	5
55	как и	18	5
56	он не	13	5
57	мы видели	2	5
58	последнее слово	4	5
59	своего рода	2	5
60	что в	6	5
61	в творчестве	4	5
62	говорили что	4	5
63	во время	5	5
64	такой же	3	5
65	так сказать	2	5
66	что все	2	4
67	времени и	2	4
68	что это	4	4
69	того времени	2	4
70	переходим к	4	4
71	в себе	5	4
72	например в	2	4
73	и к	12	4
74	конечно не	2	4
75	за пределы	3	4
76	наконец в	4	4
77	в ней	2	4
78	даже в	5	4
79	при этом	2	4
80	их в	2	4
81	во всем	4	4
82	о том	2	4
83	по своей	2	4
84	так как	4	4
85	в которой	2	4
86	всех этих	2	3
87	в своем	2	3
88	так что	5	3
89	слов и	3	3
90	здесь в	2	3
91	может быть	14	3
92	не мог	3	3
93	одной из	2	3
94	что и	3	3
95	то что	10	3
96	в форме	3	3
97	на них	7	3
98	не просто	2	3
99	там где	7	3
100	здесь есть	2	3
101	уже не	3	3
102	и наконец	7	3
103	не в	10	3
104	рядом с	4	3
105	сказать что	3	3
106	между тем	4	3
107	но он	4	3
108	характер и	2	3
109	в другом	12	3
110	и т.д	3	3
111	его к	3	3
112	слова и	11	3
113	бы в	4	3
114	все его	4	3
115	в виде	7	2
116	о себе	17	2
117	друг другу	4	2
118	о них	2	2
119	в речи	2	2
120	с другой	4	2
121	это не	3	2
122	уже в	3	2
123	не как	3	2
124	и во	3	2
125	в одном	6	2
126	на самом	9	2
127	это в	2	2
128	что он	24	2
129	конечно в	2	2
130	бы и	2	2
131	точек зрения	2	2
132	ни было	3	2
133	ни в	2	2
134	говорит о	2	2
135	и как	2	2
136	но это	6	2
137	к концу	3	2
138	совсем не	3	2
139	для него	14	2
140	было бы	3	2
141	и сам	7	2
142	из них	3	2
143	себе и	7	2
144	а в	7	2
145	хотя и	2	2
146	что на	2	2
147	в котором	3	2
148	еще один	2	2
149	все же	8	2
150	в своей	4	2
151	в мире	4	2
152	благодаря этому	2	2
153	когда он	3	2
154	вот как	4	2
155	вместе с	2	2
156	самом деле	10	2
157	ни одного	9	2
158	только на	4	2
159	другой стороны	3	2
160	так же	7	2
161	как раз	4	2
162	не может	18	2
163	как к	5	2
164	то ни	3	2
165	а не	4	2
166	с собой	2	2
167	к нему	13	2
168	и для	8	2
169	с точки	2	2
170	его в	4	2
171	бы то	3	2
172	в слове	6	2
173	эпизод с	2	2
174	и то	5	2
175	с этой	2	2
176	в которых	2	2
177	связан с	2	2
178	он дает	2	2
179	он и	5	2
180	той или	4	2
181	эти тона	2	2
182	что они	6	2
183	с тем	3	2
184	с ним	7	2
185	в эту	4	2
186	нет ни	2	2
