N	2gram	Tiupa_Narr_1	Sotsiolo
1	в том	18	5
2	в этом	17	5
3	не в	14	3
4	и только	2	3
5	в его	9	3
6	и в	19	3
7	не только	32	3
8	или даже	2	2
9	по отношению	7	2
10	еще не	7	2
11	было бы	4	2
12	как будто	3	2
13	она может	2	2
14	только в	4	2
15	по существу	2	2
16	это и	3	2
17	том что	14	2
18	далеко не	5	2
19	то же	4	2
20	отношению к	6	2
21	то что	11	2
22	тем более	2	2
23	может быть	25	2
24	в результате	2	2
25	в частности	14	2
26	но и	23	2
27	к которому	2	2
28	как бы	4	2
29	должна быть	2	2
30	что в	3	2
