N	2gram	Losev_Prob_2	Myslijsy
1	потому что	13	46
2	то есть	39	34
3	в слове	3	32
4	в том	12	32
5	и в	35	30
6	может быть	18	28
7	то же	5	23
8	не только	24	21
9	только в	14	21
10	для нас	9	20
11	но и	16	19
12	том что	19	18
13	то что	38	18
14	того что	12	18
15	что в	11	17
16	не есть	33	17
17	по себе	8	16
18	в себе	5	16
19	не в	2	15
20	и не	37	15
21	а не	10	15
22	таким образом	4	14
23	что и	2	13
24	так как	7	13
25	точно так	3	12
26	вместе с	2	12
27	а в	4	12
28	если бы	4	12
29	так и	7	11
30	что оно	2	11
31	как и	5	10
32	и что	13	10
33	в этом	17	10
34	в то	6	10
35	из этих	3	9
36	только тогда	3	9
37	было бы	8	9
38	мы не	7	9
39	тогда когда	3	9
40	в самом	5	8
41	в ней	2	8
42	что не	5	8
43	что мы	14	8
44	и то	10	8
45	и без	5	7
46	с другой	6	7
47	что слово	3	7
48	вовсе не	37	7
49	к тому	3	7
50	как мы	5	7
51	так что	11	7
52	с тем	3	7
53	но не	4	7
54	есть не	6	7
55	в языке	15	7
56	с одной	5	7
57	тем самым	7	7
58	тем что	4	7
59	имеет значение	2	6
60	что он	4	6
61	но это	6	6
62	с этим	5	6
63	между собою	4	6
64	то это	3	6
65	указывает на	5	6
66	то и	4	6
67	не может	13	6
68	уже не	8	6
69	не имеет	7	6
70	значение слова	4	5
71	уже в	3	5
72	не могут	4	5
73	независимо от	2	5
74	в них	2	5
75	по крайней	6	5
76	в каком	4	5
77	и как	4	5
78	в своем	4	5
79	языка в	3	5
80	еще не	10	5
81	только как	3	5
82	мысль о	2	5
83	в действительности	2	5
84	крайней мере	6	5
85	только по	2	5
86	и тем	4	5
87	не менее	13	5
88	по тому	2	5
89	есть только	8	5
90	должно быть	2	5
91	как на	2	5
92	это содержание	2	5
93	с другими	5	5
94	тому как	3	5
95	сказать что	24	5
96	и т	6	5
97	слова и	4	5
98	перестает быть	3	4
99	оно не	3	4
100	и от	3	4
101	одной и	2	4
102	есть ни	3	4
103	все это	4	4
104	все что	3	4
105	в его	7	4
106	относится к	6	4
107	тем более	10	4
108	не все	4	4
109	один из	3	4
110	другой стороны	5	4
111	есть нечто	7	4
112	на это	2	4
113	бы не	3	4
114	он не	2	4
115	не было	3	4
116	если не	4	4
117	все равно	3	4
118	для того	3	4
119	и по	3	4
120	что для	3	4
121	по поводу	2	4
122	быть только	3	4
123	мы должны	3	4
124	далеко не	4	4
125	и это	5	4
126	и при	2	4
127	слово в	2	4
128	для меня	5	4
129	от другого	2	3
130	не существует	6	3
131	не говоря	4	3
132	и есть	4	3
133	одним и	2	3
134	тому что	3	3
135	или что	3	3
136	прежде всего	11	3
137	и все	5	3
138	что все	6	3
139	представить себе	4	3
140	не можем	4	3
141	то тем	2	3
142	а только	6	3
143	тем не	12	3
144	есть в	4	3
145	более или	4	3
146	не будет	11	3
147	мы можем	6	3
148	само по	2	3
149	что при	4	3
150	до сих	4	3
151	можно сказать	6	3
152	одной стороны	5	3
153	при этом	3	3
154	ни о	4	3
155	никак не	11	3
156	и следовательно	4	3
157	что она	4	3
158	как бы	4	3
159	никто не	3	3
160	для себя	9	3
161	от всего	3	3
162	в целом	3	3
163	не знаем	3	3
164	с и	2	3
165	на него	2	3
166	или менее	4	3
167	предмета а	3	3
168	только на	9	3
169	т д	6	3
170	от нас	3	3
171	в одно	2	3
172	того чтобы	2	3
173	слово и	2	3
174	к нему	2	3
175	так же	5	3
176	в таком	11	3
177	или в	2	3
178	и на	5	3
179	же и	2	3
180	говорить о	10	3
181	самого себя	2	3
182	и вообще	16	3
183	не знает	3	3
184	его в	3	3
185	здесь только	3	3
186	здесь как	2	3
187	не то	2	3
