N	2gram	Nazirov_Tv_2	StatiiOP
1	и в	20	25
2	в этом	8	24
3	у пушкина	3	22
4	в том	8	20
5	что в	7	19
6	что он	6	19
7	может быть	8	19
8	тем что	3	19
9	том что	4	15
10	в этой	5	14
11	в его	10	12
12	то что	3	12
13	не только	13	12
14	так что	2	11
15	прежде всего	8	10
16	таким образом	10	10
17	и не	9	10
18	у него	6	9
19	но и	8	9
20	и т	13	8
21	все это	6	8
22	в своих	3	8
23	о том	5	8
24	это не	7	7
25	не может	7	7
26	в то	10	7
27	место в	3	6
28	в конце	6	6
29	не в	4	6
30	только в	2	6
31	а а	4	6
32	как бы	11	6
33	как в	4	6
34	а в	4	6
35	и на	5	6
36	т п	2	6
37	в русской	2	6
38	в россии	2	6
39	между тем	3	6
40	то же	7	5
41	потому что	7	5
42	с другой	2	5
43	об этом	4	5
44	в котором	3	5
45	и это	3	5
46	в году	16	5
47	а не	6	5
48	другой стороны	2	5
49	говорил что	2	5
50	он не	3	5
51	так и	6	5
52	но в	4	5
53	в устах	2	4
54	всяком случае	2	4
55	и др	3	4
56	точка зрения	2	4
57	по крайней	2	4
58	крайней мере	2	4
59	у нас	2	4
60	как и	6	4
61	мы видим	4	4
62	но это	5	4
63	в начале	3	4
64	если бы	4	4
65	например в	5	4
66	на его	4	4
67	в своей	6	4
68	в целом	6	4
69	из этого	2	4
70	связь с	2	4
71	не было	2	4
72	в чем	4	4
73	и с	8	4
74	во всяком	2	4
75	действующих лиц	2	4
76	все же	5	4
77	xix века	7	4
78	в которой	2	4
79	ничего не	4	4
80	уже в	2	3
81	трагедии в	2	3
82	к этому	3	3
83	же время	7	3
84	показывает что	4	3
85	с этой	3	3
86	для него	3	3
87	что я	2	3
88	и что	2	3
89	и если	2	3
90	и наконец	2	3
91	все эти	4	3
92	не является	3	3
93	своего рода	3	3
94	в их	3	3
95	и далее	2	3
96	что этот	2	3
97	по мнению	3	3
98	г а	3	3
99	уже не	3	3
100	не так	2	3
101	и его	9	3
102	в рассказе	3	3
103	в виде	2	3
104	говорить о	2	3
105	так как	3	3
106	в творчестве	5	3
107	к которому	2	3
108	во многом	2	2
109	а с	3	2
110	это был	3	2
111	все время	2	2
112	при помощи	2	2
113	с чувством	3	2
114	не менее	2	2
115	никогда не	11	2
116	точку зрения	2	2
117	и у	2	2
118	что у	4	2
119	как о	2	2
120	не столько	2	2
121	несколько раз	3	2
122	в одной	3	2
123	в духе	4	2
124	вовсе не	2	2
125	в такой	2	2
126	и ее	2	2
127	что его	2	2
128	х годов	3	2
129	такой же	2	2
130	что они	4	2
131	но не	5	2
132	до сих	3	2
133	еще не	5	2
134	одной из	3	2
135	в самом	3	2
136	одна из	3	2
137	в статье	2	2
138	отходит от	2	2
139	в черновой	3	2
140	нет и	2	2
141	года в	7	2
142	один из	3	2
143	вместе с	3	2
144	сих пор	3	2
145	и тогда	2	2
146	и только	2	2
147	т д	11	2
148	начиная с	2	2
149	и других	2	2
150	в произведениях	2	2
151	самом деле	2	2
152	что не	3	2
153	и по	2	2
154	во многих	2	2
155	мы не	4	2
156	в которых	3	2
157	могут быть	2	2
158	он писал	2	2
159	известно что	2	2
160	так сказать	2	2
161	в плане	3	2
162	то есть	5	2
