N	3gram	Bakhtin_sl_2	Marksizm
1	с точки зрения	3	20
2	не может быть	15	13
3	до сих пор	2	8
4	в связи с	2	7
5	в отличие от	12	5
6	в отношении к	4	4
7	в большинстве случаев	5	3
8	может быть и	2	3
9	в то же	4	3
10	то же время	4	3
11	в этом отношении	3	3
12	в том что	4	3
13	в этом случае	6	3
14	но все же	4	3
15	для того чтобы	2	3
16	не могут быть	2	2
17	в узком смысле	4	2
18	в свою очередь	2	2
19	в пределах одного	7	2
20	сама по себе	3	2
21	но в то	3	2
22	во всяком случае	2	2
23	с установкой на	3	2
24	по отношению к	4	2
25	во всех областях	4	2
