N	2gram	Vinokur_St_1	VrazhdaK
1	не только	18	9
2	в этом	21	8
3	и что	4	8
4	и в	44	8
5	но и	10	7
6	что в	30	7
7	то что	18	7
8	и все	2	7
9	в котором	5	6
10	в нем	5	6
11	все же	8	6
12	и даже	5	6
13	как и	9	6
14	в начале	3	6
15	но в	10	6
16	и с	3	6
17	то же	5	5
18	не было	4	5
19	и не	16	5
20	у него	2	5
21	об этом	3	5
22	между тем	3	5
23	в то	9	5
24	же время	4	5
25	в россии	4	5
26	уже в	2	4
27	для нас	7	4
28	как бы	4	4
29	все это	5	4
30	целый ряд	2	4
31	это не	8	4
32	что он	10	4
33	так же	5	4
34	в своих	2	4
35	может быть	15	4
36	при этом	2	4
37	в истории	3	4
38	несмотря на	2	4
39	о том	17	4
40	в ней	3	4
41	речь идет	4	3
42	я не	7	3
43	и уже	2	3
44	в своем	2	3
45	что у	4	3
46	и во	2	3
47	в конце	3	3
48	т е	15	3
49	на то	4	3
50	и у	2	3
51	он был	3	3
52	в том	36	3
53	раз в	2	3
54	и его	8	3
55	том что	29	3
56	тем что	5	3
57	в его	9	3
58	его в	2	3
59	но он	2	3
60	в чем	3	3
61	он не	2	3
62	а с	3	2
63	в своей	6	2
64	и это	2	2
65	из них	8	2
66	не менее	5	2
67	никогда не	5	2
68	столь же	4	2
69	как раз	4	2
70	не может	8	2
71	по мнению	3	2
72	а в	17	2
73	отношения к	2	2
74	таким образом	7	2
75	начиная с	2	2
76	это в	4	2
77	п в	3	2
78	но это	6	2
79	о которой	3	2
80	в той	6	2
81	с точки	8	2
82	тем более	4	2
83	в этой	11	2
84	и то	5	2
85	же как	3	2
86	их в	2	2
87	точки зрения	11	2
88	в себе	2	2
89	отношение к	2	2
90	для него	6	2
91	еще не	3	2
92	во время	3	2
93	при помощи	2	2
94	ответ на	3	2
95	а также	2	2
