N	3gram	Vygotskiy__7	Psycholo
1	в том что	13	17
2	для того чтобы	18	13
3	в самом деле	4	11
4	с точки зрения	21	10
5	заключается в том	4	10
6	не может быть	4	8
7	так же точно	3	7
8	то же самое	5	6
9	на то что	4	6
10	в этом отношении	3	5
11	до сих пор	3	5
12	на самом деле	2	5
13	в данном случае	5	4
14	так же как	7	4
15	в сущности говоря	2	4
16	о том что	4	4
17	и той же	2	4
18	одной и той	2	4
19	тем не менее	3	4
20	в то время	2	3
21	том что она	2	3
22	в конечном счете	2	3
23	том что он	2	3
24	точно так же	2	3
25	по сравнению с	7	2
26	только потому что	3	2
27	этой точки зрения	4	2
28	в свою очередь	2	2
29	представление о том	2	2
30	же самое что	2	2
31	к тому что	6	2
32	как и в	3	2
33	состоит в том	3	2
34	том что в	2	2
35	таким образом в	2	2
36	того и другого	2	2
37	и то что	3	2
38	то время как	2	2
39	в том и	3	2
