N	2gram	Vygotskiy__7	Dialekti
1	не есть	4	47
2	и не	18	30
3	может быть	7	20
4	и в	26	19
5	не только	24	19
6	по себе	3	18
7	а не	6	16
8	в себе	9	15
9	то что	24	14
10	что она	8	14
11	в том	18	14
12	как бы	6	14
13	так как	14	14
14	потому что	16	14
15	вовсе не	2	13
16	но и	11	12
17	то же	8	12
18	точки зрения	28	12
19	что это	6	10
20	ни в	2	10
21	как и	15	10
22	в нем	2	10
23	так и	3	10
24	том что	17	10
25	это не	3	10
26	сказать что	8	10
27	никогда не	4	9
28	не может	11	9
29	прежде всего	7	8
30	она не	5	8
31	мы уже	3	8
32	с точки	21	8
33	не в	4	8
34	это есть	4	8
35	в этом	29	8
36	в своей	3	8
37	есть не	3	7
38	как это	5	7
39	но это	3	7
40	и к	7	7
41	совершенно не	2	7
42	что в	12	7
43	должно быть	2	7
44	время как	2	7
45	и то	7	7
46	так что	4	7
47	я не	3	6
48	что он	8	6
49	что не	2	6
50	что они	10	6
51	в то	3	6
52	но не	3	6
53	того что	14	6
54	тогда когда	5	6
55	с другой	4	5
56	в одну	2	5
57	в силу	5	5
58	по своему	9	5
59	можно сказать	5	5
60	в самом	9	5
61	и следовательно	5	5
62	и потому	3	5
63	что и	3	5
64	как раз	3	5
65	и что	6	5
66	в смысле	6	5
67	только что	5	5
68	и его	12	5
69	только в	8	5
70	о том	4	5
71	и с	5	5
72	в виду	5	5
73	содержит в	3	4
74	уже в	2	4
75	и есть	2	4
76	не могут	4	4
77	в ее	6	4
78	все же	6	4
79	то время	2	4
80	одно и	3	4
81	еще не	4	4
82	к нему	3	4
83	в меру	7	4
84	он не	3	4
85	связи с	4	4
86	все это	3	4
87	и только	4	4
88	таким образом	23	4
89	что оно	4	4
90	заключается в	6	4
91	самом деле	6	4
92	и по	3	4
93	есть только	2	4
94	а в	2	4
95	в одной	3	4
96	одно из	5	4
97	могут быть	2	4
98	но он	2	4
99	по своей	10	4
100	с ним	3	4
101	поэзии и	2	4
102	не менее	4	3
103	же как	8	3
104	о чем	4	3
105	можно ли	2	3
106	в этих	2	3
107	и от	4	3
108	вещи и	2	3
109	вопрос о	6	3
110	ведь это	2	3
111	об этом	3	3
112	оно есть	5	3
113	как мы	14	3
114	но только	3	3
115	это и	4	3
116	в этой	3	3
117	что если	2	3
118	и слова	6	3
119	было бы	6	3
120	даже в	2	3
121	то как	2	3
122	и их	5	3
123	мы говорим	2	3
124	с этим	2	3
125	мы находим	3	3
126	в той	4	3
127	должны быть	4	3
128	что этот	5	3
129	в данном	5	3
130	нуждается в	3	3
131	его с	3	3
132	его в	2	3
133	в чем	3	3
134	ничего не	2	3
135	что же	2	2
136	связана с	3	2
137	самого начала	7	2
138	только не	11	2
139	мере в	2	2
140	что у	4	2
141	в какой	6	2
142	перед нами	2	2
143	в конце	4	2
144	следовательно не	2	2
145	на самом	3	2
146	момент в	3	2
147	именно в	6	2
148	но мы	3	2
149	если мы	5	2
150	к тому	7	2
151	что на	2	2
152	тем не	3	2
153	только потому	3	2
154	с самого	7	2
155	мы видим	3	2
156	с тем	5	2
157	очевидно что	3	2
158	как известно	2	2
159	это мы	2	2
160	что с	5	2
161	до сих	3	2
162	мы в	3	2
163	своей природе	4	2
164	на его	2	2
165	в сущности	9	2
166	несмотря на	2	2
167	не по	4	2
168	в ней	3	2
169	и делает	2	2
170	только к	2	2
171	если в	4	2
172	сих пор	3	2
173	раз в	2	2
174	только одно	2	2
175	во всех	6	2
176	ее в	8	2
177	данном случае	5	2
178	в их	2	2
179	может и	2	2
180	тому что	9	2
181	так же	14	2
182	не раз	2	2
183	того как	2	2
184	с ее	2	2
185	с одной	5	2
186	как в	4	2
187	только и	3	2
188	форм и	2	2
189	того и	2	2
190	в определенном	2	2
191	и она	2	2
192	тем же	5	2
193	или в	2	2
194	в своих	2	2
195	также и	2	2
196	и при	2	2
197	тем что	9	2
198	только о	2	2
199	во время	2	2
200	что мы	9	2
201	мы должны	6	2
202	же самое	5	2
203	во всяком	2	2
204	но всегда	2	2
205	что эти	3	2
206	все эти	6	2
207	есть в	3	2
208	в которой	11	2
209	в области	4	2
210	что по	2	2
211	но в	4	2
212	вместе с	12	2
