N	2gram	Tiupa_Anal_1	Problemy
1	и в	18	35
2	как бы	5	31
3	и не	21	27
4	что он	3	24
5	в его	13	21
6	но в	8	19
7	не может	22	18
8	как и	13	18
9	в нем	3	16
10	то есть	11	16
11	то же	9	15
12	и все	3	15
13	но и	17	14
14	для него	2	14
15	может быть	29	14
16	в сущности	6	14
17	и его	5	14
18	в этом	13	14
19	к нему	3	13
20	с другим	4	13
21	он не	3	13
22	прежде всего	6	12
23	и с	2	12
24	и к	3	12
25	в другом	4	12
26	в пределах	2	11
27	в то	9	11
28	не в	14	10
29	самом деле	2	10
30	же время	6	10
31	не только	15	10
32	то что	6	10
33	на самом	2	9
34	так и	4	8
35	себя и	4	8
36	потому что	2	8
37	все же	4	8
38	как мы	2	8
39	и сам	2	7
40	лишь в	5	7
41	а в	9	7
42	самим собой	2	7
43	точки зрения	6	7
44	с ним	4	7
45	с его	3	7
46	вовсе не	2	7
47	еще не	3	7
48	для себя	2	7
49	отношению к	5	7
50	что же	2	7
51	таким образом	3	7
52	что в	5	6
53	к тому	7	6
54	отношение к	2	6
55	в самом	6	6
56	и на	5	6
57	но не	10	6
58	и т.п	5	6
59	по отношению	6	6
60	только в	6	6
61	в том	27	5
62	как к	2	5
63	от себя	3	5
64	этого слова	7	5
65	даже в	3	5
66	внутренней речи	5	5
67	героя в	2	5
68	и то	2	5
69	в себе	11	5
70	никогда не	2	4
71	с другой	4	4
72	или иной	6	4
73	в мире	8	4
74	на его	2	4
75	не о	2	4
76	между тем	5	4
77	той или	6	4
78	так как	2	4
79	по себе	4	4
80	еще в	2	4
81	нет и	2	4
82	в своей	6	4
83	другого в	3	4
84	в той	8	4
85	а не	17	4
86	что не	3	4
87	я в	3	4
88	как будто	3	4
89	то ни	3	3
90	его к	2	3
91	такой же	2	3
92	ни было	4	3
93	тому же	4	3
94	бы то	3	3
95	в целом	5	3
96	из них	2	3
97	другой стороны	2	3
98	его и	2	3
99	все эти	2	3
100	это как	2	3
101	того что	4	3
102	должно быть	2	3
103	это не	6	3
104	нуждается в	8	3
105	в начале	2	3
106	в котором	3	3
107	установкой на	2	3
108	том что	12	3
109	было бы	2	3
110	в речь	2	3
111	за пределы	2	3
112	не могу	2	3
113	что и	3	3
114	а с	3	3
115	сводится к	5	3
116	уже не	4	3
117	собой не	2	2
118	на вопрос	4	2
119	времени и	6	2
120	и внешнего	2	2
121	для этого	2	2
122	столь же	4	2
123	вопрос о	2	2
124	ни в	4	2
125	на этом	2	2
126	при этом	12	2
127	совпадает с	2	2
128	не просто	2	2
129	и по	2	2
130	особенно в	2	2
131	тому как	3	2
132	каждый из	2	2
133	по своей	6	2
134	о том	5	2
135	как он	3	2
136	в первом	2	2
137	героя к	2	2
138	в произведении	5	2
139	я и	6	2
140	мире и	2	2
141	а как	2	2
142	и та	2	2
143	однако в	3	2
144	будто бы	3	2
145	и другого	4	2
146	найти себя	2	2
147	и того	5	2
148	то в	2	2
149	внутреннего и	2	2
150	о нем	3	2
151	себя в	6	2
152	своего рода	3	2
153	вместе с	4	2
154	в отличие	6	2
155	бы не	2	2
156	и как	5	2
157	хотя бы	3	2
158	с точки	4	2
159	в которой	2	2
160	той же	2	2
161	с другими	4	2
162	не случайно	3	2
163	между двумя	3	2
164	вступает в	3	2
165	подобно тому	3	2
166	один в	2	2
167	отличие от	6	2
