N	2gram	Tiupa_Anal_1	Vvedenie
1	и т	3	42
2	и в	18	32
3	в том	27	31
4	в этом	13	30
5	может быть	29	26
6	том что	12	26
7	не только	15	22
8	для того	4	21
9	того чтобы	3	20
10	таким образом	3	19
11	также и	2	18
12	то что	6	16
13	потому что	2	15
14	так как	2	15
15	не может	22	14
16	в самом	6	13
17	в нем	3	13
18	о том	5	13
19	со стороны	2	13
20	того что	4	12
21	в их	5	12
22	и не	21	12
23	представляет собой	16	12
24	в его	13	12
25	только в	6	12
26	как мы	2	11
27	в данном	2	11
28	что в	5	10
29	но в	8	9
30	и как	5	9
31	между тем	5	9
32	по себе	4	9
33	то же	9	9
34	в той	8	9
35	с другой	4	8
36	это не	6	8
37	не в	14	8
38	именно в	4	8
39	науки о	2	8
40	прежде всего	6	7
41	вопрос о	2	7
42	точки зрения	6	7
43	но не	10	7
44	было бы	2	7
45	все же	4	7
46	дело с	4	7
47	самом деле	2	7
48	не могут	3	6
49	из этих	2	6
50	же время	6	6
51	том чтобы	7	6
52	один из	2	6
53	но и	17	6
54	широком смысле	2	6
55	в то	9	6
56	как он	3	6
57	вовсе не	2	6
58	как и	13	6
59	в качестве	31	6
60	а именно	3	6
61	хотя бы	3	6
62	и его	5	6
63	в какой	2	5
64	иное как	5	5
65	в широком	4	5
66	она есть	2	5
67	как бы	5	5
68	в целом	5	5
69	а как	2	5
70	данном случае	2	5
71	другой стороны	2	5
72	одним из	3	5
73	мере в	3	5
74	той мере	2	5
75	не есть	8	5
76	вместе с	4	5
77	т п	3	5
78	а не	17	5
79	что не	3	5
80	могут быть	4	5
81	представляют собой	2	5
82	на вопрос	4	4
83	как уже	2	4
84	особого рода	7	4
85	времени и	6	4
86	одной стороны	3	4
87	в котором	3	4
88	в тексте	5	4
89	по отношению	6	4
90	этом отношении	2	4
91	с одной	3	4
92	не просто	2	4
93	а в	9	4
94	что иное	5	4
95	в первом	2	4
96	мы имеем	6	4
97	что он	3	4
98	и заключается	2	4
99	не что	4	4
100	еще не	3	4
101	об искусстве	2	4
102	отношению к	5	4
103	в своей	6	4
104	уже не	4	4
105	той же	2	4
106	и то	2	4
107	в себе	11	4
108	истории литературы	4	3
109	и есть	3	3
110	в частности	19	3
111	или меньшей	4	3
112	в собственном	3	3
113	можно сказать	2	3
114	к тому	7	3
115	в этой	5	3
116	на этом	2	3
117	большей или	4	3
118	при этом	12	3
119	такого рода	5	3
120	от себя	3	3
121	в конечном	4	3
122	к нему	3	3
123	отношение к	2	3
124	из них	2	3
125	дело не	3	3
126	все эти	2	3
127	свое время	2	3
128	и на	5	3
129	культуры в	2	3
130	в начале	2	3
131	при помощи	2	3
132	тогда когда	2	3
133	если бы	3	3
134	однако в	3	3
135	и к	3	3
136	текст и	2	3
137	в сущности	6	3
138	текста и	8	3
139	в свое	2	3
140	а также	3	3
141	однако не	3	3
142	должен быть	6	3
143	что и	3	3
144	своего рода	3	3
145	что же	2	3
146	может служить	2	3
147	как будто	3	3
148	в области	4	3
149	никогда не	2	2
150	для этого	2	2
151	или иной	6	2
152	соответствии с	2	2
153	и сам	2	2
154	несмотря на	2	2
155	как совокупность	2	2
156	какой бы	2	2
157	не к	2	2
158	не говоря	2	2
159	к тексту	2	2
160	в принципе	8	2
161	должно быть	2	2
162	каждый из	2	2
163	не столько	2	2
164	не следует	4	2
165	и с	2	2
166	нуждается в	8	2
167	той или	6	2
168	же самое	2	2
169	так и	4	2
170	следует что	2	2
171	состоит в	11	2
172	он написан	2	2
173	есть не	8	2
174	не с	4	2
175	его к	2	2
176	тем более	2	2
177	научного анализа	2	2
178	того же	4	2
179	что мы	3	2
180	литературное произведение	12	2
181	ни с	3	2
182	этого слова	7	2
183	и до	2	2
184	и тогда	2	2
185	тогда как	14	2
186	из того	4	2
187	из которых	4	2
188	с точки	4	2
189	тому как	3	2
190	в силу	3	2
191	подобно тому	3	2
192	в другом	4	2
193	будто бы	3	2
194	здесь не	2	2
