N	2gram	Medvedev_S_1	Dialekti
1	может быть	2	20
2	и в	3	19
3	не только	3	19
4	то что	2	14
5	в том	5	14
6	как бы	2	14
7	но и	2	12
8	то же	2	12
9	том что	2	10
10	не в	3	8
11	в этом	5	8
12	что в	2	7
13	как будто	2	7
14	должна быть	2	5
15	и что	2	5
16	в смысле	2	5
17	только в	2	5
18	еще не	2	4
19	за пределы	2	4
20	все это	7	4
21	и только	3	4
22	таким образом	2	4
23	как только	2	3
24	ведь это	2	3
25	это и	2	3
26	только как	2	3
27	было бы	2	3
28	и мы	2	3
29	как же	3	3
30	в частности	2	2
31	в конце	2	2
32	очевидно что	2	2
33	дело не	2	2
34	в результате	2	2
35	но ведь	3	2
