N	3gram	Vinokur_Ku_2	EvropaiC
1	в том что	10	16
2	с точки зрения	8	8
3	мы знаем что	2	7
4	на то что	2	7
5	на самом деле	2	7
6	для того чтобы	8	6
7	в самом деле	7	5
8	не может быть	4	4
9	в этой области	4	4
10	в каждый данный	2	4
11	тем не менее	5	4
12	том случае если	2	4
13	в конце концов	3	4
14	с другой стороны	7	4
15	в этом случае	2	4
16	в том случае	2	4
17	так же как	2	3
18	каждый данный момент	2	3
19	в связи с	3	3
20	так или иначе	2	3
21	в то же	3	2
22	несмотря на то	2	2
23	в свою очередь	2	2
24	и в том	2	2
25	то же время	3	2
26	во всяком случае	5	2
27	но все же	2	2
28	вместе с тем	2	2
