N	2gram	Berdyaev_V_1	PoTuStor
1	и в	16	16
2	прежде всего	2	9
3	в этом	4	9
4	с его	3	7
5	не только	2	7
6	и это	2	6
7	для него	2	6
8	конечно не	2	6
9	все эти	3	5
10	в чем	3	5
11	ни в	3	5
12	еще не	8	5
13	как бы	5	5
14	в нем	4	4
15	но и	5	4
16	так и	4	4
17	все это	5	4
18	хотя бы	3	4
19	и все	4	4
20	так как	9	4
21	и не	20	4
22	но мы	2	4
23	все что	4	4
24	только в	2	4
25	но в	3	4
26	в его	4	4
27	и теперь	2	3
28	в этих	3	3
29	что в	3	3
30	жизни и	3	3
31	и есть	4	3
32	во всех	3	3
33	могут быть	2	3
34	в том	3	3
35	а в	2	3
36	том что	2	3
37	то что	9	3
38	их в	3	3
39	во всяком	2	3
40	и потому	7	3
41	ее в	2	2
42	нет и	2	2
43	этих трех	3	2
44	один из	2	2
45	не могут	2	2
46	что и	3	2
47	не есть	6	2
48	не будет	2	2
49	нем нет	2	2
50	как не	3	2
51	никогда не	3	2
52	что не	4	2
53	в них	3	2
54	оно не	3	2
55	в жизни	3	2
56	что он	4	2
57	мы не	2	2
58	на этих	2	2
59	что мы	4	2
60	и для	3	2
61	для нас	2	2
62	как и	4	2
63	но это	3	2
64	говорить о	4	2
65	и мы	3	2
66	в своей	3	2
67	с ним	2	2
