N	2gram	Losev_Dial_4	Literetu
1	не только	8	24
2	при этом	2	19
3	в качестве	2	17
4	но и	4	17
5	а не	18	16
6	в том	11	16
7	в частности	2	15
8	том что	10	14
9	может быть	17	13
10	и не	30	12
11	в этом	11	12
12	прежде всего	11	11
13	в своем	5	11
14	то что	16	10
15	или иначе	2	9
16	не в	8	8
17	и в	15	8
18	только в	7	8
19	как это	2	8
20	не менее	2	7
21	я не	5	7
22	в его	4	7
23	как бы	14	7
24	уже не	9	7
25	в себе	8	7
26	в жизни	5	6
27	как и	7	6
28	себя в	2	6
29	того что	13	6
30	точки зрения	14	6
31	с его	5	5
32	с этой	2	5
33	что он	7	5
34	же время	6	5
35	как в	3	5
36	не может	11	5
37	то же	9	5
38	тем самым	3	5
39	в данном	3	5
40	в то	6	5
41	отличие от	2	5
42	для этого	2	4
43	это не	12	4
44	в силу	4	4
45	еще не	4	4
46	и тем	6	4
47	все же	2	4
48	из них	2	4
49	в своей	3	4
50	со стороны	3	4
51	так и	5	4
52	никогда не	2	4
53	лишь в	2	4
54	и его	7	4
55	как раз	4	4
56	не как	4	4
57	в этой	4	4
58	в основе	10	3
59	не было	2	3
60	что в	7	3
61	и есть	19	3
62	да и	2	3
63	субъекта и	5	3
64	с их	4	3
65	в самом	2	3
66	не мог	2	3
67	же и	2	3
68	в сфере	5	3
69	один из	4	3
70	жизни и	4	3
71	в их	3	3
72	бы не	2	3
73	таким образом	5	3
74	этой точки	2	3
75	и даже	6	3
76	той же	5	3
77	потому что	10	3
78	во всяком	2	3
79	но в	3	3
80	также и	4	3
81	тех же	2	3
82	в области	3	3
83	в виду	9	3
84	на этом	3	2
85	а как	2	2
86	должна быть	7	2
87	отнюдь не	4	2
88	однако в	2	2
89	у достоевского	2	2
90	именно так	2	2
91	та же	3	2
92	из этих	2	2
93	мир и	4	2
94	подобно тому	4	2
95	и нет	3	2
96	человека и	2	2
97	в себя	5	2
98	же это	5	2
99	тем не	2	2
100	или иную	2	2
101	в нашей	2	2
102	что я	5	2
103	и само	2	2
104	ту или	2	2
105	было бы	9	2
106	общего с	3	2
107	за пределы	3	2
108	для нее	2	2
109	говоря уже	3	2
110	в нем	5	2
111	не есть	40	2
112	в сущности	5	2
113	художественное произведение	2	2
114	не говоря	3	2
115	то и	2	2
116	и только	2	2
117	все эти	3	2
118	имеется в	3	2
119	от себя	2	2
120	это как	2	2
121	что не	3	2
122	что такое	5	2
123	хотя бы	4	2
124	с точки	9	2
125	поскольку он	2	2
126	тому как	4	2
127	и то	3	2
128	тем более	6	2
129	тем что	2	2
130	могут быть	3	2
131	более не	3	2
132	как будто	2	2
133	о том	5	2
134	нет ничего	6	2
135	которая не	2	2
