N	2gram	Potebnia_M_1	EvropaiE
1	и в	39	37
2	точки зрения	8	23
3	что в	22	21
4	не только	21	18
5	с точки	3	17
6	в то	4	16
7	хотя бы	2	15
8	то же	6	15
9	в своем	3	14
10	же время	4	14
11	но и	20	14
12	и не	18	14
13	но в	9	14
14	в этом	15	12
15	в их	2	11
16	в том	26	11
17	с и	3	10
18	так и	13	10
19	прежде всего	4	9
20	в смысле	4	9
21	все более	3	9
22	не может	22	9
23	в себе	13	9
24	только в	25	9
25	так же	5	9
26	думать что	3	8
27	к тому	4	8
28	одной стороны	3	8
29	было бы	12	8
30	в своей	3	8
31	с одной	3	8
32	между тем	5	8
33	как и	9	7
34	между прочим	2	7
35	того что	8	7
36	с другой	7	7
37	так как	21	7
38	с этой	2	6
39	вовсе не	5	6
40	том что	16	6
41	стороны и	2	6
42	может быть	27	6
43	для того	3	6
44	на то	2	6
45	как бы	6	6
46	то что	10	6
47	во всех	5	6
48	того чтобы	2	6
49	и даже	4	6
50	то есть	42	6
51	столь же	3	5
52	не в	15	5
53	но не	8	5
54	но если	2	5
55	со стороны	8	5
56	как мы	2	5
57	в течение	2	5
58	тем самым	4	5
59	и по	6	5
60	и потому	5	5
61	ни было	2	4
62	независимо от	6	4
63	то ни	3	4
64	в некотором	2	4
65	вопрос о	4	4
66	чем в	2	4
67	бы то	2	4
68	само по	4	4
69	несмотря на	5	4
70	в самом	3	4
71	то в	5	4
72	в ней	7	4
73	к ней	2	4
74	по себе	10	4
75	для нас	9	4
76	мы не	10	4
77	и притом	4	4
78	не имеет	5	4
79	во многих	2	4
80	сказать что	3	4
81	тем более	2	4
82	в каком	6	4
83	но на	2	3
84	с тем	5	3
85	никогда не	4	3
86	в них	3	3
87	в стороне	4	3
88	и от	3	3
89	и народов	2	3
90	этом смысле	4	3
91	мы видели	4	3
92	применении к	2	3
93	мы можем	2	3
94	в свою	4	3
95	очевидно что	3	3
96	того же	3	3
97	не более	4	3
98	бы ни	4	3
99	различия в	2	3
100	и тем	3	3
101	что и	6	3
102	не будет	2	3
103	заключает в	2	3
104	как в	10	3
105	и только	2	3
106	и для	5	3
107	как на	3	3
108	в таком	5	3
109	не из	3	3
110	к ним	2	3
111	можно думать	2	3
112	потому что	52	3
113	во всяком	3	3
114	тем что	9	3
115	по общему	2	3
116	в применении	2	3
117	о том	2	3
118	некотором смысле	2	3
119	дело в	2	3
120	там где	4	3
121	что все	3	2
122	не могут	4	2
123	за тем	2	2
124	и более	2	2
125	для них	2	2
126	а не	21	2
127	в этих	7	2
128	еще более	2	2
129	с в	5	2
130	во втором	5	2
131	и во	3	2
132	с этим	7	2
133	и все	3	2
134	в одном	8	2
135	из того	2	2
136	есть не	2	2
137	что на	6	2
138	влияние на	2	2
139	же в	2	2
140	и того	2	2
141	и как	6	2
142	отношений между	3	2
143	есть в	2	2
144	что если	3	2
145	свою очередь	4	2
146	но как	3	2
147	должна быть	3	2
148	не можем	2	2
149	что это	3	2
150	и если	2	2
151	она не	3	2
152	от друга	2	2
153	имеет место	2	2
154	на язык	7	2
155	он не	3	2
156	в его	5	2
157	помнить что	3	2
158	мог бы	2	2
159	не есть	10	2
160	с а	2	2
161	при помощи	2	2
162	в мире	3	2
163	друг от	2	2
164	жизни и	2	2
165	вместе с	8	2
166	на основании	2	2
167	что к	2	2
168	что же	2	2
169	а в	5	2
170	таким образом	13	2
171	если бы	14	2
172	и других	4	2
173	но с	2	2
174	заключается в	3	2
175	и что	10	2
176	на этот	2	2
177	другой стороны	5	2
178	духовной жизни	2	2
179	в других	2	2
180	мы видим	4	2
181	или в	2	2
182	в другой	3	2
183	в своих	4	2
184	этот вопрос	2	2
185	и с	3	2
186	хотя и	3	2
187	могут быть	9	2
188	в этой	3	2
189	и то	3	2
190	в истории	7	2
191	как будто	2	2
192	мы должны	3	2
193	его на	2	2
194	бы в	4	2
195	то не	3	2
196	заметить что	2	2
197	тогда когда	9	2
