N	2gram	Propp_Morf_1	Myshleni
1	то что	8	26
2	что он	4	25
3	в этом	14	25
4	потому что	3	21
5	таким образом	21	19
6	в том	6	18
7	не может	14	18
8	точки зрения	2	18
9	того чтобы	3	17
10	что в	8	16
11	и в	13	16
12	того что	3	16
13	так как	16	16
14	не только	4	16
15	так же	3	15
16	том что	4	15
17	для того	2	14
18	в сущности	3	13
19	сказать что	2	13
20	между собой	4	13
21	отношению к	4	12
22	вопрос о	7	12
23	в ходе	4	12
24	по отношению	4	12
25	и не	12	12
26	и что	2	12
27	но не	4	10
28	было бы	3	10
29	как мы	6	10
30	а не	11	10
31	только в	2	10
32	может быть	52	9
33	с точки	2	9
34	о том	2	8
35	как это	3	8
36	если бы	2	8
37	как и	3	8
38	мы должны	3	8
39	он не	3	8
40	то же	7	8
41	и есть	2	7
42	так и	6	7
43	представляет собой	17	7
44	приводит к	2	7
45	если мы	5	7
46	в какой	3	6
47	не в	3	6
48	в этой	2	6
49	но если	7	6
50	но и	4	6
51	но в	2	6
52	состоит в	2	6
53	к тому	4	6
54	этот вопрос	2	6
55	мы можем	2	6
56	в другом	2	6
57	на вопрос	2	5
58	тому что	4	5
59	что они	2	5
60	как бы	3	5
61	не является	3	5
62	но мы	3	5
63	хотя бы	4	5
64	в то	3	5
65	он должен	2	5
66	можно сказать	2	5
67	как в	3	5
68	только что	2	5
69	того как	2	5
70	можно было	2	5
71	тем что	4	5
72	в которой	3	5
73	ничего не	4	5
74	значит что	3	5
75	в самых	2	4
76	не могут	4	4
77	все эти	2	4
78	с другой	8	4
79	это не	6	4
80	то время	3	4
81	в пределах	3	4
82	в целом	3	4
83	и их	2	4
84	не имеет	2	4
85	и по	2	4
86	время как	3	4
87	что мы	2	4
88	в результате	7	4
89	мы видим	13	4
90	в качестве	5	4
91	еще не	3	4
92	к началу	4	4
93	тому как	5	4
94	могут быть	16	4
95	подобно тому	6	4
96	не менее	5	3
97	в частности	2	3
98	перейти к	2	3
99	раньше чем	3	3
100	прежде всего	9	3
101	как уже	2	3
102	и как	5	3
103	но это	6	3
104	самом деле	4	3
105	но как	2	3
106	к нему	3	3
107	если в	5	3
108	и тем	2	3
109	то как	2	3
110	его и	2	3
111	от того	3	3
112	к целому	2	3
113	а в	7	3
114	говорить о	3	3
115	в первом	3	3
116	в этих	13	3
117	между тем	5	3
118	мы не	8	3
119	с тем	2	3
120	с этим	11	3
121	к этому	3	3
122	он может	2	3
123	этом случае	8	3
124	все же	7	3
125	по существу	12	3
126	это и	2	3
127	то в	3	3
128	по своему	2	3
129	вопрос как	2	3
130	что и	7	3
131	не на	2	3
132	показать что	4	3
133	на этом	3	3
134	из которых	3	3
135	что функции	3	3
136	связи с	10	3
137	что эта	2	3
138	мы будем	3	2
139	и другие	6	2
140	себя и	2	2
141	но все	3	2
142	совершается в	2	2
143	на его	4	2
144	вслед за	5	2
145	из них	3	2
146	представляют собой	11	2
147	что она	2	2
148	другой стороны	4	2
149	или не	3	2
150	мы постараемся	2	2
151	и здесь	5	2
152	что эти	2	2
153	вовсе не	4	2
154	его в	2	2
155	в различных	2	2
156	не с	2	2
157	то это	3	2
158	и к	4	2
159	видим что	10	2
160	же в	2	2
161	у нас	2	2
162	учение о	3	2
163	никто не	3	2
164	в свое	2	2
165	момент когда	2	2
166	и другим	3	2
167	благодаря этому	3	2
168	во всех	4	2
169	нами в	2	2
170	а с	2	2
171	во всяком	2	2
172	эти функции	2	2
173	вывод что	2	2
174	ту же	2	2
175	как будто	2	2
