N	2gram	Bakhtin_Fr_1	Poddanst
1	не только	10	17
2	и в	65	14
3	и не	22	12
4	в области	7	11
5	в отношении	6	10
6	в этом	15	10
7	в том	16	9
8	но в	14	9
9	только в	7	7
10	но и	10	6
11	в ней	6	6
12	xix века	5	6
13	с другой	3	5
14	не в	4	5
15	и пр	5	5
16	может быть	6	5
17	же в	2	4
18	то что	3	4
19	что в	3	4
20	в своем	8	4
21	не может	3	4
22	европейской культуры	3	4
23	и к	4	4
24	том что	6	4
25	как бы	22	4
26	и потому	10	4
27	в нем	13	3
28	и без	2	3
29	это не	3	3
30	с одной	2	3
31	прежде всего	11	3
32	с точки	3	3
33	между тем	5	3
34	но не	2	3
35	могут быть	2	3
36	точки зрения	7	3
37	в себе	3	3
38	что мы	2	3
39	одной стороны	2	3
40	наряду с	2	3
41	потому что	5	3
42	хотя и	2	3
43	том числе	10	2
44	так называемые	2	2
45	не к	2	2
46	во всех	9	2
47	в частности	5	2
48	время в	2	2
49	в них	5	2
50	все это	9	2
51	во всей	3	2
52	как раз	3	2
53	отношения к	2	2
54	в жизни	4	2
55	между прочим	2	2
56	главным образом	6	2
57	еще более	5	2
58	и других	3	2
59	и вот	2	2
60	в значительной	6	2
61	бы ни	2	2
62	того что	2	2
63	для нас	4	2
64	в ее	3	2
65	есть в	5	2
66	которое в	2	2
67	образом на	2	2
68	из них	4	2
69	в общем	4	2
70	например в	2	2
71	и это	2	2
72	культуры в	4	2
73	значительной мере	2	2
74	в ряду	3	2
75	да и	2	2
76	в его	9	2
77	и с	3	2
