N	2gram	Trubetskoy_1	FransuaR
1	и в	23	49
2	то есть	2	32
3	прежде всего	3	19
4	в его	5	18
5	не только	7	17
6	и на	6	17
7	и не	8	15
8	в этом	12	15
9	в них	2	13
10	только в	6	13
11	но и	9	13
12	как и	9	11
13	как бы	10	11
14	вовсе не	2	10
15	в этой	6	10
16	все это	11	9
17	для него	2	9
18	в нем	3	9
19	в сущности	2	8
20	отношение к	4	8
21	все же	13	7
22	жизни и	2	7
23	не может	17	7
24	таким образом	31	7
25	то же	4	7
26	все эти	19	7
27	как мы	2	7
28	именно в	5	6
29	то что	18	6
30	в истории	3	6
31	в себя	2	6
32	же время	2	6
33	мы уже	4	6
34	во всех	10	6
35	так и	10	6
36	и с	5	6
37	точки зрения	13	6
38	в то	6	6
39	так как	7	6
40	никогда не	4	5
41	в своем	10	5
42	из этих	8	5
43	в начале	2	5
44	но не	2	5
45	при этом	9	5
46	тот же	3	5
47	может быть	16	5
48	и потому	3	5
49	с точки	8	5
50	в эту	2	5
51	и более	2	4
52	с другой	6	4
53	в жизни	3	4
54	и к	5	4
55	в себе	5	4
56	том что	19	4
57	но все	5	4
58	одна из	2	4
59	в своих	2	4
60	в этих	3	4
61	и до	3	4
62	сих пор	8	4
63	этот процесс	2	4
64	до сих	8	4
65	не было	2	4
66	а в	3	4
67	лишь в	5	4
68	как на	4	4
69	в области	4	4
70	с ним	6	4
71	но в	4	4
72	всех этих	4	3
73	с одной	3	3
74	в течение	4	3
75	другими словами	2	3
76	на все	5	3
77	что он	7	3
78	в том	30	3
79	а затем	2	3
80	во всем	3	3
81	одной стороны	2	3
82	было бы	3	3
83	из них	5	3
84	несмотря на	6	3
85	в самом	8	3
86	даже в	3	3
87	и особенно	2	3
88	с ее	2	3
89	мы видели	2	3
90	другой стороны	5	3
91	на земле	3	3
92	что для	4	3
93	и все	7	3
94	и других	2	3
95	культуры и	9	3
96	к нему	2	3
97	также и	2	3
98	их в	2	3
99	и вообще	3	3
100	далеко не	5	3
101	о том	7	3
102	и это	3	3
103	почти все	2	3
104	в виду	2	3
105	связи с	4	2
106	что в	8	2
107	но даже	3	2
108	в нашем	3	2
109	точку зрения	2	2
110	не подлежит	3	2
111	никто не	2	2
112	та же	3	2
113	что касается	6	2
114	этой культуры	3	2
115	вследствие этого	2	2
116	как известно	3	2
117	в одну	4	2
118	на то	9	2
119	в свет	2	2
120	в тех	3	2
121	в самой	2	2
122	по существу	6	2
123	в дальнейшем	2	2
124	мы сказали	3	2
125	что они	2	2
126	культура в	2	2
127	есть в	2	2
128	все что	9	2
129	только то	2	2
130	по сравнению	5	2
131	и без	5	2
132	еще не	5	2
133	совершенно не	3	2
134	и традиции	2	2
135	очень много	3	2
136	одним из	4	2
137	у него	5	2
138	хотя и	4	2
139	в ней	3	2
140	на этой	2	2
141	в мире	6	2
142	вместе с	6	2
143	в ту	2	2
144	в их	4	2
145	целый ряд	4	2
146	всех других	2	2
147	в связи	3	2
148	на самом	7	2
149	ко всему	2	2
150	того чтобы	8	2
151	так же	8	2
152	жизнь и	3	2
153	сомнению что	3	2
154	меньше чем	2	2
155	во всяком	2	2
156	что только	2	2
157	как к	5	2
158	в другом	2	2
159	мы должны	4	2
160	и т.д	4	2
161	сравнению с	5	2
162	в конце	4	2
163	тех же	2	2
164	всяком случае	2	2
165	мы можем	6	2
