N	2gram	Nazirov_Tv_1	NovoeSre
1	а не	5	17
2	не может	4	16
3	и в	21	16
4	во имя	2	15
5	и не	7	11
6	что в	12	9
7	жизни и	3	8
8	он не	8	8
9	в том	7	8
10	не будет	2	7
11	как и	12	7
12	в этом	6	7
13	может быть	5	7
14	с его	11	6
15	никогда не	3	6
16	не знает	2	6
17	не в	2	6
18	но это	5	6
19	в нем	3	5
20	все это	10	5
21	в жизни	2	5
22	с ее	3	5
23	xix века	6	5
24	в ней	2	5
25	не только	7	5
26	не менее	6	4
27	то что	8	4
28	наше время	2	4
29	это не	4	4
30	не во	2	4
31	и все	6	4
32	быть может	2	4
33	потому что	5	4
34	прежде всего	4	4
35	о том	6	4
36	значит что	2	4
37	к жизни	2	3
38	но и	3	3
39	не существует	3	3
40	в своей	4	3
41	жизни в	6	3
42	с другой	3	3
43	в наше	2	3
44	стремится к	3	3
45	человека и	4	3
46	в духе	2	3
47	не означает	2	3
48	к тому	2	3
49	в мире	4	3
50	бога и	2	3
51	в основе	2	3
52	как в	8	3
53	в россии	3	3
54	сказать что	2	3
55	времени в	13	2
56	что все	3	2
57	времени и	4	2
58	я не	3	2
59	на протяжении	3	2
60	место в	3	2
61	у него	7	2
62	вместе с	2	2
63	но она	2	2
64	так и	2	2
65	что она	2	2
66	мысли и	4	2
67	который в	3	2
68	и от	4	2
69	а в	6	2
70	стремление к	2	2
71	свободы и	2	2
72	уже не	3	2
73	такой же	2	2
74	зависит от	2	2
75	и даже	3	2
76	хотя бы	5	2
77	но не	3	2
78	вот почему	3	2
79	так же	3	2
80	это и	3	2
81	том что	11	2
82	одна из	2	2
83	и с	3	2
84	могут быть	2	2
85	и на	7	2
86	в себе	2	2
87	в то	15	2
88	как будто	5	2
89	не имеют	4	2
90	хотя и	3	2
91	более не	2	2
92	но в	7	2
