N	2gram	Tiupa_Lite_3	Komedia
1	и в	16	26
2	в г	3	17
3	и не	22	14
4	едва ли	3	14
5	к тому	6	12
6	так и	9	12
7	и его	6	12
8	в том	12	11
9	тому же	5	11
10	может быть	12	11
11	но и	14	10
12	в этом	14	10
13	что в	2	9
14	том что	8	9
15	если бы	2	9
16	вместе с	5	9
17	было бы	2	8
18	и на	2	7
19	из них	4	7
20	не только	14	7
21	что и	2	7
22	на себя	2	7
23	то что	12	6
24	еще не	6	6
25	в нем	2	6
26	того чтобы	2	6
27	потому что	3	6
28	в то	9	6
29	о том	6	6
30	с его	6	5
31	к этому	2	5
32	что он	5	5
33	а затем	3	5
34	в качестве	5	5
35	один из	2	5
36	для того	2	5
37	и с	2	5
38	место в	4	4
39	не менее	2	4
40	в частности	11	4
41	что у	2	4
42	прежде всего	3	4
43	как мы	2	4
44	же в	2	4
45	как и	5	4
46	в целом	5	4
47	как будто	4	4
48	хотя и	4	4
49	в его	6	4
50	еще в	3	4
51	мира в	3	4
52	все же	2	4
53	в самом	3	4
54	и для	4	4
55	точки зрения	7	4
56	в начале	4	4
57	только в	7	4
58	как это	3	4
59	его в	2	4
60	между тем	3	4
61	том числе	3	3
62	о чем	3	3
63	так или	2	3
64	с этой	2	3
65	вопрос о	2	3
66	жизни и	3	3
67	отношению к	4	3
68	связи с	2	3
69	но не	4	3
70	того же	2	3
71	во всех	2	3
72	же время	7	3
73	и сам	2	3
74	например в	3	3
75	себя в	7	3
76	в своей	7	3
77	по отношению	4	3
78	той же	3	3
79	то же	9	3
80	как в	5	3
81	а в	5	3
82	или иначе	2	3
83	человека в	2	3
84	тем что	2	3
85	не может	8	3
86	в этой	8	3
87	но в	3	3
88	все время	3	2
89	ни было	2	2
90	отнюдь не	3	2
91	однако в	4	2
92	не всегда	2	2
93	то ни	2	2
94	в лице	2	2
95	с другой	6	2
96	это не	5	2
97	в конце	2	2
98	в одном	4	2
99	то это	2	2
100	и к	3	2
101	в ее	5	2
102	не в	10	2
103	художественного мышления	6	2
104	х годов	15	2
105	бы то	2	2
106	перед лицом	4	2
107	а на	2	2
108	одной стороны	4	2
109	и если	4	2
110	вслед за	3	2
111	одним из	4	2
112	берет на	2	2
113	наконец в	3	2
114	как бы	8	2
115	не вполне	2	2
116	даже в	4	2
117	говоря уже	4	2
118	в мире	16	2
119	отношение к	2	2
120	не говоря	4	2
121	со стороны	7	2
122	уже о	3	2
123	в отличие	5	2
124	если не	2	2
125	с одной	4	2
126	в принципе	2	2
127	бы и	3	2
128	отличие от	5	2
129	в глазах	3	2
130	с ними	2	2
131	одно из	4	2
132	следует признать	2	2
133	и ее	2	2
134	и вовсе	2	2
135	в жизнь	4	2
136	в первом	2	2
