N	2gram	Propp_Morf_1	Psycholo
1	в том	6	37
2	и в	13	32
3	и что	2	22
4	том что	4	21
5	то что	8	21
6	таким образом	21	21
7	потому что	3	21
8	что в	8	20
9	так же	3	18
10	может быть	52	18
11	что и	7	17
12	не может	14	17
13	точки зрения	2	17
14	что она	2	16
15	самом деле	4	16
16	того чтобы	3	14
17	что он	4	13
18	то же	7	13
19	для того	2	13
20	в этом	14	13
21	если мы	5	12
22	не только	4	12
23	так как	16	12
24	на то	2	11
25	с тем	2	11
26	было бы	3	11
27	при помощи	9	10
28	как и	3	10
29	и т	41	10
30	но и	4	10
31	и не	12	10
32	с точки	2	10
33	что при	2	9
34	как в	3	9
35	тем что	4	9
36	не менее	5	8
37	не в	3	8
38	того что	3	8
39	к тому	4	7
40	ясно что	5	7
41	и как	5	7
42	а не	11	7
43	в сущности	3	7
44	все эти	2	7
45	можно было	2	7
46	сказать что	2	7
47	как будто	2	7
48	только в	2	7
49	что они	2	7
50	в этой	2	6
51	он не	3	6
52	как бы	3	6
53	целый ряд	3	6
54	о том	2	6
55	если бы	2	6
56	не сумеем	2	5
57	что его	2	5
58	вслед за	5	5
59	далеко не	5	5
60	показать что	4	5
61	на самом	4	5
62	в то	3	5
63	от того	3	4
64	утверждать что	3	4
65	тем не	5	4
66	как это	3	4
67	а на	3	4
68	несмотря на	4	4
69	и по	2	4
70	и тем	2	4
71	все же	7	4
72	из них	3	4
73	наряду с	5	4
74	а в	7	4
75	мы имеем	9	4
76	мы видим	13	4
77	не имеет	2	4
78	и для	2	4
79	тому что	4	4
80	могут быть	16	4
81	с этим	11	4
82	в целом	3	4
83	ту же	2	4
84	если же	5	4
85	ничего не	4	4
86	того как	2	4
87	между тем	5	4
88	по своему	2	3
89	не могут	4	3
90	главным образом	4	3
91	состоит в	2	3
92	в частности	2	3
93	хотя бы	4	3
94	с другой	8	3
95	и к	4	3
96	видим что	10	3
97	по существу	12	3
98	об этом	4	3
99	но как	2	3
100	например в	2	3
101	один из	5	3
102	то это	3	3
103	так и	6	3
104	то как	2	3
105	во всех	4	3
106	и их	2	3
107	и ее	3	3
108	что же	2	3
109	на этом	3	3
110	этот вопрос	2	3
111	время как	3	3
112	тому как	5	3
113	то время	3	3
114	действующих лиц	11	3
115	в каком	2	3
116	в которых	2	3
117	мы должны	3	3
118	или же	6	3
119	та же	2	3
120	но в	2	3
121	мы не	8	3
122	значит что	3	3
123	это было	3	3
124	мы можем	2	3
125	не существует	3	2
126	если она	2	2
127	на вопрос	2	2
128	в самых	2	2
129	можно показать	2	2
130	с его	2	2
131	мы будем	3	2
132	то ни	3	2
133	в какой	3	2
134	это не	6	2
135	во всяком	2	2
136	и здесь	5	2
137	тем и	2	2
138	вывод что	2	2
139	еще не	3	2
140	но не	4	2
141	в глаза	2	2
142	она не	2	2
143	из которых	3	2
144	вовсе не	4	2
145	на его	4	2
146	к нему	3	2
147	всяком случае	2	2
148	их как	2	2
149	если в	5	2
150	исходят из	2	2
151	оно не	2	2
152	бы то	3	2
153	в этих	13	2
154	для нас	2	2
155	на него	3	2
156	есть нечто	3	2
157	не на	2	2
158	другой стороны	4	2
159	т д	39	2
160	а с	2	2
161	и наоборот	4	2
162	здесь мы	3	2
163	форма в	3	2
164	в других	3	2
165	но это	6	2
166	также и	4	2
167	с двумя	2	2
168	подобно тому	6	2
169	имеем в	6	2
170	мы получаем	2	2
171	и таким	2	2
172	с того	3	2
173	в свое	2	2
174	не значит	2	2
175	там где	5	2
176	заметить что	8	2
177	эта форма	13	2
178	в которой	3	2
