N	2gram	Tiupa_Anal_1	Marksizm
1	может быть	29	28
2	и в	18	19
3	как бы	5	19
4	и не	21	19
5	не может	22	18
6	в процессе	2	18
7	точки зрения	6	17
8	то же	9	16
9	и его	5	16
10	как мы	2	15
11	в этом	13	15
12	таким образом	3	14
13	лишь в	5	14
14	в сущности	6	14
15	не только	15	13
16	с точки	4	13
17	в нем	3	11
18	если бы	3	11
19	вовсе не	2	11
20	не в	14	10
21	в пределах	2	10
22	но и	17	10
23	том что	12	10
24	так и	4	10
25	и т.п	5	10
26	для него	2	9
27	при этом	12	9
28	в основе	6	9
29	как и	13	9
30	самом деле	2	9
31	а не	17	9
32	отнюдь не	15	8
33	же время	6	8
34	не является	2	8
35	по отношению	6	8
36	в то	9	8
37	с его	3	8
38	отношению к	5	8
39	только в	6	8
40	никогда не	2	7
41	в том	27	7
42	но в	8	7
43	и более	4	7
44	прежде всего	6	7
45	внутренней речи	5	7
46	на самом	2	7
47	в таком	3	7
48	к тому	7	6
49	ни в	4	6
50	и как	5	6
51	того чтобы	3	6
52	в самом	6	6
53	ни было	4	6
54	же самое	2	6
55	и все	3	6
56	между тем	5	6
57	более того	3	6
58	для того	4	6
59	хотя бы	3	6
60	то ни	3	5
61	или иной	6	5
62	к нему	3	5
63	в их	5	5
64	и на	5	5
65	и того	5	5
66	того же	4	5
67	в его	13	5
68	этого слова	7	5
69	все же	4	5
70	в той	8	5
71	в данном	2	5
72	тем более	2	5
73	это не	6	4
74	одного и	2	4
75	той или	6	4
76	то что	6	4
77	бы то	3	4
78	того что	4	4
79	а как	2	4
80	следует что	2	4
81	что он	3	4
82	было бы	2	4
83	для себя	2	4
84	в себе	11	4
85	в какой	2	3
86	столь же	4	3
87	с другой	4	3
88	в двух	2	3
89	в этой	5	3
90	одной стороны	3	3
91	за пределы	2	3
92	в котором	3	3
93	какой бы	2	3
94	его и	2	3
95	а в	9	3
96	с одной	3	3
97	все эти	2	3
98	в другом	4	3
99	должно быть	2	3
100	о том	5	3
101	так как	2	3
102	подхода к	3	3
103	оно может	3	3
104	таком случае	3	3
105	по себе	4	3
106	в качестве	31	3
107	еще не	3	3
108	не к	2	3
109	он не	3	3
110	и до	2	3
111	что и	3	3
112	не есть	8	3
113	не будет	3	3
114	в своей	6	3
115	в отличие	6	3
116	на основе	2	3
117	той же	2	3
118	с другими	4	3
119	и то	2	3
120	могут быть	4	3
121	отличие от	6	3
122	место в	3	2
123	что в	5	2
124	в нашем	3	2
125	иное как	5	2
126	на все	2	2
127	вопрос о	2	2
128	в собственном	3	2
129	его к	2	2
130	тому же	4	2
131	лишь при	4	2
132	одним из	3	2
133	и самого	2	2
134	отношения к	2	2
135	именно в	4	2
136	коем случае	2	2
137	не следует	4	2
138	установкой на	2	2
139	и с	2	2
140	и является	2	2
141	в начале	2	2
142	того или	3	2
143	случае это	2	2
144	то есть	11	2
145	или иного	3	2
146	не с	4	2
147	в коем	2	2
148	но не	10	2
149	от своего	2	2
150	и о	2	2
151	и потому	2	2
152	науки о	2	2
153	должен быть	6	2
154	себя в	6	2
155	но к	2	2
156	и тогда	2	2
157	бы не	2	2
158	а с	3	2
159	сводится к	5	2
160	что не	3	2
161	свидетельствует о	2	2
162	как от	2	2
163	вступает в	3	2
164	далеко не	6	2
165	вместе с	4	2
