N	2gram	Ircho_Kome_3	Myslijsy
1	потому что	10	46
2	в том	12	32
3	и в	22	30
4	может быть	6	28
5	то же	7	23
6	не только	5	21
7	но и	4	19
8	том что	13	18
9	то что	4	18
10	что в	5	17
11	в себе	4	16
12	не в	4	15
13	и не	21	15
14	а не	4	15
15	таким образом	12	14
16	что и	8	13
17	так как	11	13
18	вместе с	9	12
19	а в	7	12
20	если бы	8	12
21	так и	4	11
22	как и	3	10
23	как в	2	10
24	и что	6	10
25	в этом	8	10
26	в то	6	10
27	было бы	3	9
28	в нем	3	9
29	мы не	2	9
30	между тем	2	9
31	в самом	9	8
32	от того	2	8
33	в ней	4	8
34	что не	3	8
35	только что	7	8
36	что мы	2	8
37	и без	2	7
38	с другой	4	7
39	вовсе не	4	7
40	к тому	6	7
41	как мы	2	7
42	так что	6	7
43	с тем	4	7
44	с одной	3	7
45	тем что	5	7
46	что он	8	6
47	с этим	3	6
48	из них	5	6
49	то это	5	6
50	не может	3	6
51	не имеет	3	6
52	с ним	5	6
53	уже в	2	5
54	не могут	2	5
55	в них	3	5
56	человека и	2	5
57	же время	5	5
58	в своем	8	5
59	еще не	6	5
60	только как	2	5
61	отношению к	3	5
62	не менее	5	5
63	по отношению	5	5
64	по тому	2	5
65	с другими	2	5
66	и т	4	5
67	к ней	8	5
68	до того	2	4
69	столь же	3	4
70	для понимания	2	4
71	все это	5	4
72	все что	3	4
73	то время	2	4
74	в его	8	4
75	себя и	2	4
76	в котором	2	4
77	тем более	4	4
78	один из	3	4
79	другой стороны	2	4
80	на это	3	4
81	бы не	2	4
82	и его	6	4
83	он не	5	4
84	не было	2	4
85	если не	3	4
86	все равно	3	4
87	для того	6	4
88	тем же	3	4
89	что для	2	4
90	далеко не	3	4
91	и это	2	4
92	тому что	2	3
93	прежде всего	5	3
94	и все	2	3
95	в образе	2	3
96	к этому	6	3
97	тем не	3	3
98	не будет	2	3
99	свою очередь	6	3
100	мы можем	3	3
101	в свою	7	3
102	такое же	2	3
103	до сих	9	3
104	одной стороны	3	3
105	при этом	7	3
106	что она	4	3
107	как бы	3	3
108	в целом	3	3
109	на него	4	3
110	со стороны	11	3
111	того чтобы	6	3
112	к нему	5	3
113	в силу	2	3
114	все остальные	2	3
115	друг друга	4	3
116	так же	4	3
117	в таком	2	3
118	и на	2	3
119	к одной	2	3
120	говорить о	3	3
121	в начале	3	3
122	за ним	2	3
123	не знает	3	3
124	его в	8	3
125	в которой	3	3
126	том как	3	3
127	сих пор	9	3
128	что ни	3	2
129	во время	6	2
130	прежде чем	3	2
131	но все	4	2
132	об этом	7	2
133	из себя	3	2
134	связи с	5	2
135	от нее	3	2
136	в какой	3	2
137	не как	2	2
138	в одном	2	2
139	это в	2	2
140	а как	2	2
141	на то	3	2
142	не дает	4	2
143	отношение к	5	2
144	одной из	3	2
145	что с	2	2
146	в ее	3	2
147	этих слов	2	2
148	в этой	3	2
149	что они	2	2
150	по своему	3	2
151	у него	4	2
152	она не	2	2
153	и тот	3	2
154	несмотря на	4	2
155	и мы	3	2
156	и если	2	2
157	на его	2	2
158	не могла	3	2
159	он говорит	2	2
160	и о	2	2
161	должно было	3	2
162	о любви	2	2
163	в свое	2	2
164	за пределы	2	2
165	так или	2	2
166	был бы	2	2
167	только один	2	2
168	все же	4	2
169	в своей	5	2
170	в их	2	2
171	целый ряд	2	2
172	т п	4	2
173	в других	3	2
174	этом отношении	2	2
175	из того	3	2
176	к своему	2	2
177	самом деле	6	2
178	и даже	3	2
179	отказаться от	2	2
180	ему не	3	2
181	в которых	5	2
182	тут же	4	2
183	с этой	3	2
184	их в	3	2
185	ни в	10	2
186	людей и	2	2
187	точки зрения	4	2
188	себя от	2	2
189	бы в	4	2
190	и после	2	2
191	о том	8	2
192	что эта	2	2
193	в области	2	2
194	нет ни	2	2
195	и с	4	2
