N	2gram	Voloshinov_1	Vvedenie
1	и в	16	32
2	в том	3	31
3	в этом	9	30
4	может быть	17	26
5	том что	3	26
6	не только	7	22
7	таким образом	9	19
8	то что	3	16
9	так как	4	15
10	не может	8	14
11	в самом	2	13
12	в нем	4	13
13	о том	2	13
14	в общем	3	12
15	и не	4	12
16	в его	4	12
17	только в	4	12
18	как мы	4	11
19	что такое	5	11
20	что в	3	10
21	но в	4	9
22	и как	3	9
23	этом смысле	3	9
24	то же	2	9
25	не менее	2	8
26	прежде всего	9	7
27	точки зрения	8	7
28	было бы	2	7
29	самом деле	6	7
30	только как	3	7
31	не могут	2	6
32	из этих	2	6
33	до сих	3	6
34	один из	2	6
35	но и	4	6
36	все это	4	6
37	и даже	4	6
38	его в	4	6
39	как и	2	6
40	сих пор	3	6
41	хотя бы	4	6
42	и его	8	6
43	и это	6	6
44	как бы	5	5
45	с их	3	5
46	сказать что	7	5
47	в них	2	5
48	по своему	2	5
49	есть и	2	5
50	не есть	2	5
51	вместе с	3	5
52	что не	2	5
53	могут быть	3	5
54	с этой	2	4
55	всяком случае	3	4
56	а в	3	4
57	но ведь	2	4
58	как это	3	4
59	сравнению с	3	4
60	по крайней	3	4
61	что он	2	4
62	еще не	5	4
63	крайней мере	3	4
64	по сравнению	3	4
65	в своей	2	4
66	и для	2	4
67	во всяком	3	4
68	и ее	4	4
69	совсем не	2	3
70	что это	2	3
71	и есть	3	3
72	в частности	2	3
73	в этих	3	3
74	вообще не	2	3
75	а потому	4	3
76	можно сказать	4	3
77	в этой	4	3
78	на этом	3	3
79	при этом	6	3
80	в конечном	3	3
81	на этой	3	3
82	отношение к	5	3
83	все эти	5	3
84	и других	2	3
85	и вот	3	3
86	так же	2	3
87	и на	4	3
88	говорить о	2	3
89	в начале	2	3
90	к этому	2	3
91	и к	6	3
92	в чем	5	3
93	в одном	3	3
94	в свое	2	3
95	с историей	2	3
96	что и	2	3
97	в каком	2	3
98	и вообще	2	3
99	в области	3	3
100	это делает	2	2
101	же как	2	2
102	никогда не	2	2
103	для этого	2	2
104	но зато	2	2
105	момента в	2	2
106	но это	2	2
107	и др	3	2
108	что можно	2	2
109	с помощью	2	2
110	и с	8	2
111	и так	2	2
112	с этим	2	2
113	нуждается в	5	2
114	так и	4	2
115	не существует	2	2
116	учение о	3	2
117	того же	2	2
118	во всех	3	2
119	что мы	2	2
120	жизни и	3	2
121	мы уже	2	2
122	в этот	2	2
123	мысли и	4	2
124	только на	3	2
125	между ними	3	2
126	с точки	6	2
127	мы не	2	2
128	мы можем	9	2
129	на протяжении	2	2
130	нашего времени	2	2
