N	2gram	Vinokur_Vv_1	VrazhdaK
1	не только	21	9
2	в этом	34	8
3	и что	4	8
4	и в	27	8
5	но и	5	7
6	что в	11	7
7	то что	17	7
8	в котором	4	6
9	в нем	13	6
10	все же	8	6
11	и даже	5	6
12	как и	5	6
13	в начале	3	6
14	но в	10	6
15	и с	2	6
16	то же	8	5
17	и не	13	5
18	об этом	5	5
19	между тем	8	5
20	в то	5	5
21	же время	5	5
22	уже в	5	4
23	как бы	5	4
24	все это	6	4
25	это не	8	4
26	что он	4	4
27	так же	3	4
28	в своих	2	4
29	может быть	24	4
30	при этом	3	4
31	в истории	9	4
32	несмотря на	2	4
33	о том	15	4
34	в ней	3	4
35	в виду	4	4
36	в этот	2	3
37	речь идет	2	3
38	и уже	3	3
39	связи с	3	3
40	в своем	3	3
41	в связи	2	3
42	в конце	3	3
43	т е	38	3
44	к этому	3	3
45	в том	31	3
46	и его	5	3
47	том что	26	3
48	и как	9	3
49	чтобы он	2	3
50	тем что	6	3
51	в его	10	3
52	его в	6	3
53	наряду с	2	3
54	в чем	4	3
55	одним из	5	3
56	он сам	3	2
57	в известном	3	2
58	в своей	4	2
59	и это	6	2
60	после этого	2	2
61	из них	3	2
62	не менее	8	2
63	никогда не	3	2
64	вместе с	6	2
65	в них	4	2
66	как раз	4	2
67	и далее	2	2
68	не может	13	2
69	а в	5	2
70	тогда как	2	2
71	таким образом	19	2
72	рядом с	2	2
73	это в	2	2
74	о которой	2	2
75	в в	3	2
76	в той	7	2
77	уже не	5	2
78	не мог	2	2
79	с точки	2	2
80	тем более	2	2
81	в этой	3	2
82	и то	5	2
83	же как	3	2
84	но как	2	2
85	точки зрения	7	2
86	и ее	4	2
87	в себе	4	2
88	отношение к	3	2
89	еще не	4	2
90	о чем	4	2
91	при помощи	2	2
92	ответ на	3	2
93	одна из	2	2
94	том же	2	2
95	нашего времени	2	2
96	а также	3	2
