N	2gram	Propp_Isto_4	KulturaY
1	т е	18	38
2	и т	27	33
3	в том	3	30
4	и в	26	24
5	потому что	6	23
6	том что	3	21
7	что в	14	17
8	и пр	11	15
9	было бы	2	15
10	т д	24	14
11	в этом	7	14
12	может быть	14	13
13	все же	9	12
14	таким образом	10	12
15	в его	5	12
16	и не	9	12
17	не в	5	11
18	только в	3	11
19	вовсе не	4	10
20	в силу	5	10
21	у нас	2	10
22	не только	15	10
23	хотя бы	2	10
24	если бы	2	9
25	то что	16	9
26	того что	2	9
27	о том	4	9
28	так как	9	9
29	в языке	2	8
30	то же	8	8
31	уже не	5	8
32	а не	6	8
33	тем что	5	8
34	не менее	2	7
35	с другой	4	7
36	связи с	3	7
37	в качестве	7	7
38	как бы	3	7
39	вместе с	6	7
40	не может	6	7
41	с помощью	2	7
42	это не	5	7
43	в области	2	7
44	так и	10	7
45	что он	10	6
46	при этом	3	6
47	но и	12	6
48	все это	2	6
49	другой стороны	4	6
50	все эти	3	6
51	в которых	4	6
52	мы имеем	7	6
53	не случайно	2	6
54	с тем	2	5
55	что это	2	5
56	но не	5	5
57	еще не	6	5
58	например в	3	5
59	и что	5	5
60	не просто	4	5
61	а в	8	5
62	и его	10	5
63	и с	5	5
64	в частности	2	4
65	в этих	7	4
66	к себе	3	4
67	на то	3	4
68	в нем	2	4
69	в тех	4	4
70	указать на	3	4
71	же в	3	4
72	по существу	3	4
73	что они	6	4
74	есть в	2	4
75	из них	2	4
76	в таких	2	4
77	это и	5	4
78	что и	9	4
79	не есть	2	4
80	тем не	2	4
81	в целом	2	4
82	сих пор	5	4
83	до сих	5	4
84	как в	7	4
85	не на	3	4
86	с этим	2	4
87	того как	4	4
88	так что	2	4
89	так же	18	4
90	с ними	5	4
91	и на	2	4
92	в данном	3	4
93	из этих	3	4
94	там где	3	4
95	уже в	2	3
96	смысле этого	2	3
97	на себя	4	3
98	его к	3	3
99	то это	5	3
100	только тогда	3	3
101	в этой	2	3
102	меня и	2	3
103	мы увидим	3	3
104	и если	3	3
105	на том	2	3
106	этого слова	2	3
107	в истории	2	3
108	даже в	4	3
109	на его	3	3
110	когда он	6	3
111	что она	3	3
112	в своем	2	3
113	в связи	2	3
114	в особенности	2	3
115	и даже	4	3
116	и он	3	3
117	должна быть	2	3
118	и здесь	5	3
119	и то	6	3
120	то мы	2	3
121	хотя и	2	3
122	даже и	2	3
123	в себе	2	3
124	здесь не	4	3
125	как это	3	3
126	в одном	5	3
127	том как	2	3
128	и более	3	2
129	о чем	3	2
130	и есть	2	2
131	никогда не	2	2
132	превращается в	7	2
133	с этой	2	2
134	и все	2	2
135	этого не	2	2
136	не всегда	6	2
137	не могут	2	2
138	вопрос о	4	2
139	по себе	2	2
140	к своему	3	2
141	для нас	3	2
142	этом случае	3	2
143	как и	7	2
144	и как	5	2
145	но все	5	2
146	и при	3	2
147	а на	4	2
148	тех случаях	2	2
149	конечно не	2	2
150	между прочим	2	2
151	в своей	4	2
152	относится к	3	2
153	эти случаи	2	2
154	и тем	2	2
155	еще один	2	2
156	ни в	2	2
157	в современной	2	2
158	дело не	2	2
159	он иногда	2	2
160	а именно	3	2
161	так например	2	2
162	он не	7	2
163	случаях когда	3	2
164	не мог	3	2
165	лишь в	2	2
166	этих случаях	8	2
167	на этот	2	2
168	между ними	3	2
169	не имеет	3	2
170	увидим что	2	2
171	или в	3	2
172	иное как	3	2
173	что я	2	2
174	во все	2	2
175	е в	3	2
176	тогда как	4	2
177	ничего не	5	2
178	но в	5	2
179	в числе	4	2
