N	2gram	Nazirov_Tv_1	StatiiOP
1	и в	21	29
2	том что	11	27
3	в том	7	27
4	в этом	6	21
5	но и	3	19
6	что в	12	19
7	не только	7	19
8	о том	6	17
9	что он	6	13
10	в его	13	13
11	у пушкина	2	12
12	то что	8	11
13	все это	10	11
14	в которой	3	11
15	к тому	2	10
16	таким образом	5	10
17	в своем	4	9
18	и т	3	9
19	так и	2	9
20	и не	7	9
21	потому что	5	9
22	он не	8	9
23	но в	7	8
24	в самом	3	7
25	в ней	2	7
26	в виду	2	7
27	в котором	6	7
28	я не	3	7
29	в своей	4	7
30	вместе с	2	7
31	не столько	2	7
32	об этом	2	6
33	вовсе не	5	6
34	одним из	4	6
35	все же	5	6
36	и его	6	6
37	и на	7	6
38	прежде всего	4	5
39	в качестве	2	5
40	как бы	17	5
41	своего рода	4	5
42	а не	5	5
43	того что	3	5
44	в русской	5	5
45	времени и	4	4
46	а как	2	4
47	именно в	2	4
48	в частности	2	4
49	с другой	3	4
50	к этому	2	4
51	в романе	10	4
52	не в	2	4
53	для него	6	4
54	хотя и	3	4
55	в нем	3	4
56	дело в	3	4
57	еще более	2	4
58	при помощи	2	4
59	и с	3	4
60	не менее	6	3
61	не был	3	3
62	самого начала	3	3
63	в этих	2	3
64	но он	2	3
65	не мог	2	3
66	так что	2	3
67	но это	5	3
68	но не	3	3
69	до конца	2	3
70	одной из	4	3
71	никогда не	3	3
72	и даже	3	3
73	из них	2	3
74	самом деле	2	3
75	как в	8	3
76	отношений между	2	3
77	в их	3	3
78	вряд ли	2	3
79	т п	2	3
80	с самого	3	3
81	на самом	3	3
82	в году	7	3
83	за то	2	3
84	и он	2	3
85	и по	3	3
86	хотя бы	5	3
87	так же	3	3
88	связан с	3	3
89	в россии	3	3
90	xix века	6	3
91	не то	2	3
92	во многом	7	2
93	с его	11	2
94	и другие	3	2
95	в одной	2	2
96	в духе	2	2
97	что и	2	2
98	тем не	2	2
99	его как	2	2
100	а затем	2	2
101	говорит о	3	2
102	как и	12	2
103	и как	4	2
104	в этой	5	2
105	что я	3	2
106	в то	15	2
107	на его	3	2
108	может быть	5	2
109	первой части	3	2
110	не по	3	2
111	еще в	2	2
112	даже в	3	2
113	только в	5	2
114	ее в	3	2
115	дело не	3	2
116	только что	2	2
117	не может	4	2
118	то же	13	2
119	при этом	7	2
120	в отличие	2	2
121	на первом	2	2
122	где он	2	2
123	в данном	2	2
124	сказать что	2	2
125	в движении	2	2
126	эти слова	2	2
127	это время	2	2
128	в себе	2	2
129	в один	2	2
130	так как	3	2
131	того же	2	2
132	отличие от	2	2
133	говорит об	2	2
