N	2gram	Losev_Prob_2	KFilosof
1	может быть	18	43
2	в его	7	39
3	не может	13	27
4	и не	37	26
5	и в	35	22
6	в себе	5	21
7	для меня	5	20
8	не есть	33	19
9	а не	10	17
10	только в	14	16
11	точки зрения	2	13
12	в этом	17	13
13	ни в	6	12
14	но не	4	12
15	и это	5	12
16	все эти	7	11
17	не в	2	11
18	к нему	2	11
19	в своем	4	10
20	все это	4	10
21	во всех	2	10
22	и есть	4	9
23	в целом	3	9
24	но и	16	9
25	в их	3	9
26	как бы	4	9
27	и все	5	9
28	и для	6	9
29	не было	3	8
30	лишь в	3	8
31	если бы	4	8
32	было бы	8	8
33	и здесь	4	7
34	вовсе не	37	7
35	конечно не	2	7
36	что и	2	7
37	то что	38	7
38	быть только	3	7
39	в том	12	6
40	но это	6	6
41	и только	4	6
42	и действительно	2	6
43	отнюдь не	5	6
44	совершенно не	2	6
45	и их	3	6
46	он не	2	6
47	не значит	2	6
48	уже не	8	6
49	хотя бы	12	5
50	но эта	3	5
51	то же	5	5
52	но все	2	5
53	от его	2	5
54	не имеет	7	5
55	должно быть	2	5
56	в основе	3	5
57	но как	6	5
58	но ведь	3	5
59	его в	3	5
60	но в	6	5
61	не знает	3	5
62	как и	5	5
63	я могу	3	5
64	не только	24	5
65	для себя	9	5
66	все же	8	5
67	что в	11	4
68	время и	2	4
69	входит в	2	4
70	для нас	9	4
71	здесь мы	3	4
72	при этом	3	4
73	в своих	3	4
74	том что	19	4
75	только как	3	4
76	о нем	2	4
77	а в	4	4
78	тем самым	7	4
79	в каком	4	4
80	бы и	7	3
81	независимо от	2	3
82	не менее	13	3
83	теории и	3	3
84	предмета в	2	3
85	в виду	8	3
86	себе и	2	3
87	был бы	6	3
88	и тем	4	3
89	в корне	2	3
90	того что	12	3
91	и на	5	3
92	в ней	2	3
93	в то	6	3
94	того или	7	3
95	о том	18	3
96	и ни	3	3
97	мы не	7	3
98	всех этих	4	3
99	сознания и	2	3
100	тогда когда	3	3
101	этом смысле	5	3
102	ясно что	8	3
103	или иного	5	3
104	по своему	5	3
105	еще не	10	3
106	и этот	3	3
107	нет и	3	3
108	быть и	2	3
109	но можно	2	3
110	бы не	3	3
111	на самом	4	3
112	самом деле	4	3
113	для того	3	3
114	только с	2	3
115	что не	5	3
116	тем что	4	3
117	здесь не	2	3
118	ничего не	10	3
119	смысла и	2	2
120	или иное	2	2
121	можно ли	6	2
122	то ни	3	2
123	прежде всего	11	2
124	вопрос о	3	2
125	или иной	5	2
126	тем не	12	2
127	войти в	2	2
128	и конечно	2	2
129	и как	4	2
130	только по	2	2
131	совсем не	7	2
132	на нем	2	2
133	и само	2	2
134	и мы	2	2
135	не о	6	2
136	в него	2	2
137	по себе	8	2
138	тому что	3	2
139	для этого	3	2
140	мышления и	2	2
141	содержания и	5	2
142	потому что	13	2
143	может иметь	2	2
144	имеем в	2	2
145	той или	5	2
146	говорить о	10	2
147	а это	3	2
148	были бы	2	2
149	и то	10	2
150	с тем	3	2
151	раз и	5	2
152	человек не	2	2
153	что он	4	2
154	при условии	6	2
155	и того	3	2
156	не будет	11	2
157	бы то	2	2
158	в качестве	2	2
159	есть именно	5	2
160	не нужно	3	2
161	ли это	2	2
162	тот же	4	2
163	и тот	3	2
164	оно не	3	2
165	так и	7	2
166	если я	2	2
167	это только	3	2
168	нами в	2	2
169	в виде	6	2
170	если не	4	2
171	еще более	2	2
172	это и	3	2
173	чтобы не	2	2
174	сводится к	2	2
175	мы здесь	3	2
176	того чтобы	2	2
177	то или	3	2
178	в данном	10	2
179	в этой	9	2
180	ничего общего	3	2
181	один и	2	2
182	которой он	4	2
183	или как	2	2
184	едва ли	9	2
185	в области	6	2
