N	2gram	Tiupa_Disk_1	Vladivir
1	и в	16	30
2	в году	2	24
3	то что	5	20
4	в этом	15	20
5	в том	23	18
6	и не	11	18
7	что он	4	13
8	том что	19	12
9	что в	4	12
10	не только	28	12
11	в его	7	11
12	а в	5	11
13	как мы	2	11
14	сказать что	3	11
15	а также	8	10
16	и вообще	2	10
17	и даже	3	10
18	не было	7	10
19	не в	7	9
20	для него	4	9
21	все же	3	9
22	потому что	4	9
23	не может	9	9
24	в то	3	9
25	связи с	4	8
26	в своем	6	8
27	но и	14	8
28	что же	2	8
29	но в	8	8
30	не менее	2	7
31	никогда не	2	7
32	точки зрения	3	7
33	и все	2	7
34	может быть	17	7
35	а не	22	7
36	то есть	20	7
37	хотя и	2	6
38	к этому	2	6
39	прежде всего	11	6
40	и к	4	6
41	об этом	2	6
42	только в	7	6
43	во всяком	2	6
44	в себе	7	6
45	и его	2	6
46	также и	3	6
47	о чем	2	6
48	же касается	2	5
49	по себе	3	5
50	как и	16	5
51	при этом	13	5
52	того же	3	5
53	в своей	5	5
54	как бы	5	5
55	в котором	5	5
56	для себя	4	5
57	так и	8	5
58	с этим	3	5
59	и что	2	5
60	того что	3	5
61	разного рода	2	4
62	с его	4	4
63	именно в	3	4
64	можно сказать	5	4
65	в этой	2	4
66	в целом	4	4
67	на его	4	4
68	и о	4	4
69	в нем	9	4
70	не есть	2	4
71	крайней мере	2	4
72	со стороны	7	4
73	то же	7	4
74	и он	2	4
75	и на	5	4
76	в начале	2	4
77	о том	8	4
78	по крайней	2	4
79	отношение к	4	4
80	это было	2	4
81	уже в	2	3
82	в них	4	3
83	хотя бы	3	3
84	едва ли	2	3
85	что касается	2	3
86	это в	2	3
87	же время	4	3
88	в свою	3	3
89	что и	3	3
90	к такому	2	3
91	и как	6	3
92	более или	2	3
93	но не	11	3
94	в данном	5	3
95	во всех	5	3
96	или менее	2	3
97	как в	10	3
98	в отличие	5	3
99	отношения к	2	3
100	таким образом	3	3
101	уже не	4	3
102	отличие от	5	3
103	поскольку в	2	3
104	не говоря	2	3
105	еще в	3	2
106	и есть	2	2
107	однако в	3	2
108	жизни в	2	2
109	это не	3	2
110	к той	3	2
111	здесь в	2	2
112	к тому	5	2
113	ему в	2	2
114	свою очередь	3	2
115	на этом	2	2
116	по своему	3	2
117	такого рода	4	2
118	в самом	3	2
119	в сущности	2	2
120	в частности	9	2
121	том чтобы	2	2
122	и потому	3	2
123	о нем	2	2
124	в виду	2	2
125	будто бы	2	2
126	говоря уже	2	2
127	себя в	2	2
128	данном случае	2	2
129	в их	5	2
130	как к	2	2
131	заключается в	3	2
132	что не	4	2
133	и по	2	2
134	то с	2	2
135	в своих	3	2
136	мысли и	2	2
137	и во	2	2
138	к его	2	2
139	уже о	2	2
140	в новом	2	2
