N	2gram	Tiupa_Lite_2	Otkroven
1	у него	2	22
2	и в	19	19
3	но и	10	13
4	и не	11	13
5	в этом	9	12
6	а не	20	11
7	не в	4	11
8	человека в	4	11
9	может быть	17	11
10	не только	8	11
11	в нем	3	10
12	никогда не	3	9
13	не было	2	9
14	потому что	2	9
15	прежде всего	4	9
16	и он	3	8
17	до конца	2	7
18	он не	5	7
19	в его	4	7
20	как и	10	6
21	то что	7	5
22	а в	3	5
23	в том	10	5
24	для него	4	5
25	в этой	3	5
26	в россии	2	5
27	что не	2	4
28	и его	3	4
29	не может	9	4
30	что в	4	4
31	мысли и	2	3
32	что он	3	3
33	того что	5	3
34	для того	2	3
35	хотя бы	2	3
36	в своих	2	3
37	быть может	3	3
38	еще не	2	3
39	могут быть	2	3
40	все что	2	3
41	во имя	2	3
42	в себе	6	3
43	было бы	2	3
44	в русской	4	3
45	о том	2	3
46	с ним	2	3
47	как бы	2	3
48	уже в	2	2
49	все же	2	2
50	что и	2	2
51	и для	3	2
52	с тем	2	2
53	в истории	2	2
54	так и	7	2
55	жизни в	4	2
56	как к	3	2
57	все еще	2	2
58	и к	2	2
59	о которой	2	2
60	в ее	2	2
61	том что	7	2
62	так что	4	2
63	в другом	3	2
64	и на	6	2
65	и то	3	2
66	и с	3	2
67	тем что	4	2
68	одно из	2	2
69	даже и	2	2
70	него не	2	2
71	и нет	2	2
72	ведь это	2	2
73	так как	3	2
74	к этой	2	2
75	ничего не	3	2
76	но в	2	2
