N	2gram	Propp_Russ_2	Narrotol
1	не только	10	26
2	а не	4	17
3	представляет собой	2	16
4	но и	8	15
5	тогда как	2	15
6	в том	22	14
7	при этом	6	14
8	в качестве	3	14
9	том что	22	13
10	и в	29	13
11	в этом	11	13
12	состоит в	15	12
13	может быть	13	10
14	в данном	6	10
15	а в	9	9
16	то что	5	8
17	не может	5	8
18	не в	4	8
19	никогда не	2	6
20	прежде всего	2	6
21	того что	3	6
22	данном случае	7	6
23	жизни в	2	6
24	все же	2	6
25	как бы	18	6
26	а также	4	6
27	но в	5	6
28	не столько	2	5
29	тем не	2	5
30	одной стороны	2	5
31	в котором	3	5
32	как в	7	5
33	в форме	2	5
34	в отличие	3	5
35	таким образом	6	5
36	с одной	2	5
37	с другой	2	5
38	отличие от	3	5
39	в то	2	5
40	далеко не	4	5
41	о том	9	5
42	что это	3	4
43	не менее	2	4
44	об этом	2	4
45	же в	6	4
46	как и	11	4
47	что в	22	4
48	не к	2	4
49	в своей	2	4
50	в ее	3	4
51	то же	4	4
52	уже не	4	4
53	в этой	3	4
54	и все	4	4
55	как это	4	4
56	мы имеем	6	3
57	или даже	3	3
58	это не	5	3
59	пока еще	2	3
60	а к	2	3
61	одна из	11	3
62	но не	5	3
63	к ней	2	3
64	за пределами	2	3
65	один из	2	3
66	между собой	2	3
67	то и	4	3
68	все эти	3	3
69	того чтобы	6	3
70	и по	3	3
71	и для	2	3
72	в таком	4	3
73	с этой	2	3
74	между тем	3	3
75	в состав	2	3
76	же как	4	2
77	и дело	2	2
78	о чем	4	2
79	должен был	3	2
80	одно из	2	2
81	о них	2	2
82	представления о	2	2
83	из этих	2	2
84	как уже	2	2
85	из наиболее	2	2
86	для нас	6	2
87	говорит о	2	2
88	и т	5	2
89	с другим	2	2
90	что с	2	2
91	еще не	6	2
92	было бы	3	2
93	что она	3	2
94	все то	2	2
95	в него	2	2
96	не все	4	2
97	что и	2	2
98	xix в	3	2
99	в других	15	2
100	а с	2	2
101	не объясняет	3	2
102	именно в	4	2
103	у нас	4	2
104	в течение	2	2
105	на самом	2	2
106	ней в	2	2
107	и что	5	2
108	не имеет	3	2
109	так же	4	2
110	мы не	6	2
111	можно было	2	2
112	тому как	3	2
113	в виде	4	2
114	но он	3	2
115	подобно тому	3	2
116	в своих	2	2
117	в церкви	2	2
118	во время	12	2
119	видно что	2	2
120	представляют собой	7	2
121	потому что	5	2
122	церкви и	2	2
