N	2gram	Berdyaev_N_1	Vladivir
1	и в	16	40
2	то что	4	28
3	и не	11	25
4	не только	5	25
5	у него	2	24
6	но и	3	18
7	в том	8	18
8	том что	2	18
9	что в	9	17
10	в этом	7	16
11	не может	16	14
12	сказать что	3	12
13	никогда не	6	11
14	потому что	4	11
15	о том	4	11
16	прежде всего	4	10
17	ни в	6	10
18	это есть	7	10
19	и потому	4	10
20	не есть	3	10
21	не менее	4	9
22	уже не	2	9
23	и с	2	9
24	в своей	3	9
25	в себе	2	9
26	может быть	7	8
27	так же	2	8
28	и что	2	8
29	он не	8	8
30	а не	17	8
31	что все	2	7
32	к тому	3	7
33	хотя и	2	7
34	а в	2	7
35	с тем	3	7
36	в то	2	7
37	вместе с	2	7
38	как и	7	7
39	смысле слова	3	6
40	и даже	2	6
41	и на	2	6
42	и от	2	6
43	xix века	5	6
44	в смысле	2	6
45	не будет	7	6
46	так и	2	6
47	хотя бы	2	6
48	но это	6	6
49	и это	2	6
50	значит что	4	6
51	с другой	3	5
52	совсем не	12	5
53	должно быть	4	5
54	не было	4	5
55	все эти	2	5
56	в ней	5	5
57	в истории	3	5
58	можно было	2	5
59	вопрос о	3	4
60	такой же	2	4
61	такого рода	2	4
62	не имеет	4	4
63	как это	2	4
64	и все	4	4
65	по существу	2	4
66	но не	2	4
67	еще не	3	4
68	но в	2	4
69	я не	2	3
70	же как	2	3
71	это не	4	3
72	человека и	3	3
73	одной стороны	2	3
74	но для	2	3
75	в нем	5	3
76	с одной	2	3
77	в россии	3	3
78	если нет	2	3
79	в духе	3	3
80	этом смысле	2	3
81	с их	2	3
82	за пределы	3	3
83	того чтобы	2	3
84	не в	6	3
85	и для	4	3
86	это было	3	3
87	ни к	2	2
88	должна быть	3	2
89	все они	2	2
90	не имеют	2	2
91	истории в	5	2
92	и материального	2	2
93	что она	2	2
94	который в	2	2
95	другой стороны	2	2
96	время как	2	2
97	в обществе	2	2
98	не существует	3	2
99	с его	6	2
100	к богу	2	2
101	с этим	2	2
102	в жизни	5	2
103	быть в	2	2
104	и к	5	2
105	на путях	2	2
106	духовного и	2	2
107	не к	2	2
108	она не	3	2
109	наряду с	3	2
110	в мире	3	2
111	как не	8	2
112	еще до	2	2
113	роль в	2	2
114	мы не	2	2
