N	2gram	Tiupa_Narr_1	NovoeSre
1	а не	12	17
2	не может	10	16
3	и в	19	16
4	нового времени	2	12
5	и не	20	11
6	что в	3	9
7	истории и	2	9
8	жизни и	3	8
9	он не	3	8
10	в том	18	8
11	не будет	3	7
12	как и	7	7
13	в этом	17	7
14	может быть	25	7
15	с его	6	6
16	никогда не	3	6
17	не в	14	6
18	ни в	3	6
19	в нем	4	5
20	истории в	3	5
21	с ее	3	5
22	в ней	3	5
23	не только	32	5
24	не менее	3	4
25	то что	11	4
26	это не	2	4
27	и все	2	4
28	не было	2	4
29	быть может	2	4
30	не имеет	2	4
31	и для	2	4
32	прежде всего	4	4
33	о том	6	4
34	и потому	2	4
35	но и	23	3
36	не есть	3	3
37	не существует	3	3
38	должна быть	2	3
39	жизни в	3	3
40	с другой	8	3
41	к тому	7	3
42	в мире	9	3
43	в ее	3	3
44	в основе	5	3
45	подобно тому	2	3
46	в прошлом	3	3
47	как в	7	3
48	она не	2	3
49	еще не	7	3
50	тому как	2	3
51	наряду с	2	3
52	сказать что	4	3
53	времени в	2	2
54	жизни как	3	2
55	времени и	7	2
56	на протяжении	6	2
57	себя в	5	2
58	у него	4	2
59	бытия в	3	2
60	так и	9	2
61	и т.п	8	2
62	который в	2	2
63	другой стороны	4	2
64	а в	11	2
65	с одной	7	2
66	все эти	2	2
67	уже не	5	2
68	нет и	2	2
69	роль в	2	2
70	одной стороны	7	2
71	зависит от	2	2
72	и даже	3	2
73	хотя бы	4	2
74	но не	5	2
75	так же	2	2
76	по существу	2	2
77	это и	3	2
78	том что	14	2
79	можно было	2	2
80	есть в	2	2
81	же как	3	2
82	одна из	3	2
83	и с	4	2
84	могут быть	3	2
85	и на	3	2
86	в себе	8	2
87	в то	3	2
88	как будто	3	2
89	такого рода	7	2
90	в будущем	2	2
91	к содержанию	3	2
92	когда мы	2	2
93	мира и	2	2
94	как это	6	2
95	хотя и	3	2
96	более не	2	2
97	но в	6	2
