N	2gram	Tiupa_Hudo_2	KFilosof
1	может быть	8	43
2	в его	11	39
3	в нем	3	31
4	не может	4	27
5	и не	18	26
6	по отношению	7	25
7	и в	28	22
8	в котором	6	21
9	отношению к	7	21
10	в себе	9	21
11	в ее	18	17
12	а не	14	17
13	и его	5	17
14	только в	4	16
15	точки зрения	2	13
16	в этом	13	13
17	для него	5	12
18	но не	4	12
19	и это	3	12
20	в своей	6	11
21	не в	13	11
22	к нему	3	11
23	в своем	5	10
24	это не	6	10
25	все это	3	10
26	с точки	2	10
27	но и	9	9
28	как бы	5	9
29	и все	7	9
30	для нее	4	9
31	и для	2	9
32	не было	6	8
33	лишь в	2	8
34	если бы	6	8
35	было бы	3	8
36	жизни и	6	8
37	со стороны	3	8
38	вовсе не	2	7
39	что и	4	7
40	то что	6	7
41	себя в	8	7
42	я не	7	6
43	в том	15	6
44	отношение к	2	6
45	и только	2	6
46	в мире	7	6
47	отнюдь не	2	6
48	он не	4	6
49	уже не	10	6
50	никогда не	5	5
51	хотя бы	2	5
52	бытия как	2	5
53	то же	6	5
54	в контексте	2	5
55	именно в	2	5
56	в основе	2	5
57	его в	2	5
58	с ним	7	5
59	но в	2	5
60	жизни в	7	5
61	как и	11	5
62	что я	2	5
63	не только	11	5
64	для себя	6	5
65	все же	2	5
66	жизни как	5	5
67	место в	2	4
68	что в	5	4
69	для нас	3	4
70	при этом	11	4
71	не по	2	4
72	с ними	3	4
73	между тем	8	4
74	в одном	3	4
75	не как	2	4
76	том что	19	4
77	о нем	2	4
78	а в	6	4
79	тем самым	2	4
80	и т.д	2	4
81	бы и	4	3
82	что это	5	3
83	не менее	5	3
84	рядом с	5	3
85	и на	3	3
86	в ней	3	3
87	в то	6	3
88	того или	2	3
89	о том	12	3
90	или иного	2	3
91	могла бы	2	3
92	еще не	3	3
93	не могу	3	3
94	бытия для	2	3
95	бы не	3	3
96	самом деле	3	3
97	для того	4	3
98	что не	2	3
99	тем как	2	3
100	тем что	6	3
101	ее жизни	2	3
102	в другом	2	3
103	здесь не	2	3
104	ничего не	5	3
105	а с	3	2
106	это уже	2	2
107	его и	2	2
108	та же	2	2
109	прежде всего	3	2
110	или иной	2	2
111	ему в	2	2
112	тем не	4	2
113	соответствии с	3	2
114	же время	4	2
115	себя и	2	2
116	его жизни	5	2
117	этих людей	2	2
118	знает и	2	2
119	тому что	4	2
120	именно на	2	2
121	в принципе	2	2
122	а по	2	2
123	потому что	2	2
124	к себе	3	2
125	говорить о	2	2
126	я и	6	2
127	а как	2	2
128	с его	5	2
129	и то	2	2
130	в жизни	8	2
131	что он	8	2
132	в соответствии	3	2
133	не будет	2	2
134	в качестве	4	2
135	в это	3	2
136	дело не	2	2
137	оно не	2	2
138	так и	8	2
139	как в	5	2
140	дело с	2	2
141	чего не	2	2
142	в виде	2	2
143	чтобы не	3	2
144	сводится к	6	2
145	того чтобы	4	2
146	и эта	2	2
147	в данном	2	2
148	и просто	2	2
149	в этой	5	2
150	едва ли	3	2
151	а для	2	2
