N	3gram	Losev_Dial_3	Psycholo
1	в том что	3	17
2	в самом деле	5	11
3	с точки зрения	14	10
4	не может быть	6	8
5	на то что	3	6
6	так же как	2	4
7	о том что	5	4
8	сам по себе	5	4
9	тем не менее	10	4
10	в то время	4	3
11	сами по себе	3	3
12	само по себе	5	3
13	точно так же	2	3
14	этой точки зрения	2	2
15	это было бы	2	2
16	это значит что	21	2
17	к тому что	2	2
18	как и в	3	2
19	том что у	2	2
20	во всяком случае	2	2
21	ни в каком	3	2
22	подобно тому как	4	2
23	и т д	23	2
24	то время как	4	2
25	он не может	2	2
26	того или иного	2	2
27	с другой стороны	2	2
