N	2gram	Propp_Isto_7	Narrotol
1	не только	21	32
2	может быть	14	25
3	но и	11	23
4	в качестве	3	21
5	и не	4	20
6	и в	24	19
7	в том	7	18
8	в этом	12	17
9	том что	10	14
10	не в	9	14
11	а не	8	12
12	своего рода	4	12
13	тогда как	3	12
14	представляет собой	4	12
15	то что	7	11
16	а в	10	11
17	не может	14	10
18	точки зрения	4	10
19	при этом	4	9
20	со стороны	2	9
21	так и	5	9
22	с другой	9	8
23	как и	6	7
24	еще не	8	7
25	все же	9	7
26	как в	12	7
27	с одной	5	7
28	одной стороны	5	7
29	с его	3	6
30	что он	21	6
31	но не	6	6
32	как это	2	6
33	о том	9	6
34	но в	5	6
35	не все	3	5
36	в форме	2	5
37	уже не	2	5
38	к нему	7	5
39	и его	3	5
40	в данном	4	5
41	в основе	2	5
42	к себе	3	5
43	перед нами	2	4
44	прежде всего	2	4
45	в нем	6	4
46	у него	10	4
47	что не	2	4
48	то же	8	4
49	но все	4	4
50	в силу	2	4
51	если не	4	4
52	было бы	2	4
53	связи с	3	4
54	одной из	4	4
55	как бы	4	4
56	и тем	2	4
57	данном случае	3	4
58	другой стороны	8	4
59	отличается от	2	4
60	в особенности	2	4
61	не столько	3	4
62	сказать что	2	4
63	только в	6	4
64	героя и	5	4
65	здесь не	2	4
66	не менее	5	3
67	еще одна	3	3
68	же как	4	3
69	что в	13	3
70	никогда не	4	3
71	восходит к	2	3
72	уже в	3	3
73	из этих	3	3
74	тем не	4	3
75	ни в	2	3
76	что они	3	3
77	одна из	7	3
78	на том	2	3
79	хотя и	3	3
80	он не	6	3
81	и даже	3	3
82	если в	2	3
83	один из	7	3
84	не будет	2	3
85	из них	2	3
86	когда он	3	3
87	в ее	2	3
88	на него	2	3
89	а именно	6	3
90	как мы	3	3
91	и он	3	3
92	и на	2	3
93	тем что	6	3
94	на себя	2	3
95	в то	2	3
96	что это	6	3
97	после смерти	3	2
98	что у	4	2
99	или даже	2	2
100	здесь и	2	2
101	та же	2	2
102	от всех	2	2
103	точно так	2	2
104	совершенно очевидно	2	2
105	не всегда	4	2
106	в литературе	2	2
107	на первый	4	2
108	говорит о	2	2
109	по существу	4	2
110	только о	2	2
111	у нее	2	2
112	и после	2	2
113	и тот	2	2
114	она не	2	2
115	не от	2	2
116	например в	3	2
117	вплоть до	2	2
118	и когда	2	2
119	и др	2	2
120	не имеет	4	2
121	отношение к	5	2
122	так же	6	2
123	в связи	2	2
124	все эти	2	2
125	первый взгляд	4	2
126	этой точки	3	2
127	они не	2	2
128	что мы	3	2
129	это не	10	2
130	в иной	2	2
131	или в	8	2
132	не случайно	3	2
133	тем более	2	2
134	и ее	2	2
135	приходит к	3	2
136	и все	6	2
137	его в	3	2
138	представляют собой	5	2
139	а если	2	2
140	ничего не	5	2
141	что по	2	2
142	от героя	5	2
143	мы имеем	12	2
