N	2gram	Bakhtin_Fr_4	VrazhdaK
1	в году	3	18
2	не только	10	9
3	в этом	11	8
4	и в	29	8
5	но и	9	7
6	то что	4	7
7	и все	13	7
8	в котором	2	6
9	в нем	5	6
10	все же	3	6
11	и даже	3	6
12	в романе	10	6
13	как и	12	6
14	но в	12	6
15	и с	9	6
16	то же	10	5
17	и не	16	5
18	у него	5	5
19	в то	10	5
20	же время	8	5
21	уже в	2	4
22	как бы	8	4
23	все это	4	4
24	это не	5	4
25	что он	4	4
26	так же	7	4
27	с ним	2	4
28	в своих	2	4
29	может быть	2	4
30	при этом	3	4
31	о том	2	4
32	и детей	2	4
33	в ней	3	4
34	в виду	2	4
35	с его	4	3
36	связи с	2	3
37	в своем	3	3
38	что у	3	3
39	в конце	9	3
40	к этому	2	3
41	и у	2	3
42	он был	2	3
43	в том	7	3
44	раз в	2	3
45	и его	8	3
46	том что	3	3
47	и как	3	3
48	тем что	4	3
49	в его	8	3
50	далеко не	5	3
51	его в	9	3
52	но он	6	3
53	и о	5	3
54	в чем	3	3
55	он не	3	3
56	и т.п	12	2
57	место в	2	2
58	в своей	5	2
59	и это	2	2
60	после этого	2	2
61	время и	2	2
62	из них	6	2
63	никогда не	2	2
64	его и	2	2
65	в них	7	2
66	как раз	2	2
67	не может	2	2
68	таким образом	20	2
69	рядом с	5	2
70	это в	2	2
71	и образы	9	2
72	но это	4	2
73	там же	3	2
74	в той	2	2
75	уже не	2	2
76	на первый	2	2
77	не мог	2	2
78	же не	2	2
79	с точки	2	2
80	в этой	13	2
81	что я	2	2
82	и то	2	2
83	их в	2	2
84	но как	3	2
85	точки зрения	4	2
86	в себе	3	2
87	еще не	4	2
88	во время	10	2
89	о чем	2	2
90	том же	2	2
91	в эту	3	2
92	а также	2	2
