N	2gram	Bakhtin_Pr_4	Myshleni
1	с помощью	3	42
2	в процессе	4	27
3	и в	46	25
4	в том	9	23
5	том что	4	20
6	что в	4	17
7	так же	3	17
8	таким образом	4	17
9	как и	12	15
10	то что	4	15
11	в его	9	15
12	в этом	16	14
13	вместе с	2	14
14	может быть	23	13
15	так как	5	12
16	перед нами	12	10
17	как бы	19	10
18	и не	27	10
19	и что	3	10
20	было бы	3	10
21	что и	3	10
22	только в	6	10
23	как в	4	9
24	мы не	4	9
25	ни в	6	9
26	тем что	3	8
27	как мы	12	8
28	речи и	5	8
29	уже в	4	7
30	все эти	4	7
31	что мы	2	7
32	по себе	7	7
33	по своей	3	7
34	мы можем	4	7
35	не менее	2	6
36	с другой	3	6
37	не в	10	6
38	же как	2	6
39	не может	19	6
40	и на	11	6
41	потому что	4	6
42	от этого	2	6
43	что он	6	6
44	в отношении	3	6
45	но не	4	6
46	того же	3	6
47	не только	14	6
48	все же	4	6
49	в отличие	3	6
50	точки зрения	11	6
51	все это	6	6
52	можно было	2	6
53	слова и	7	6
54	отличие от	3	6
55	так и	4	5
56	к одному	6	5
57	и как	2	5
58	но это	6	5
59	для него	2	5
60	при этом	5	5
61	друг с	5	5
62	одним из	3	5
63	и по	2	5
64	с ее	3	5
65	человека и	3	5
66	если бы	3	5
67	слов и	3	5
68	мы уже	3	5
69	и к	9	5
70	о том	5	5
71	связи между	2	5
72	могут быть	2	5
73	в этой	3	5
74	и т.д	3	5
75	с другом	5	5
76	не могут	3	4
77	никогда не	6	4
78	в своем	3	4
79	из этих	3	4
80	и речь	2	4
81	прежде всего	9	4
82	на то	3	4
83	к тому	2	4
84	речь и	2	4
85	но и	12	4
86	то и	2	4
87	друг друга	6	4
88	а в	2	4
89	сказать что	2	4
90	в то	5	4
91	с ним	2	4
92	мы имеем	3	4
93	с этим	2	4
94	и все	9	4
95	еще не	7	4
96	мы увидим	6	4
97	он не	4	4
98	приводит к	4	4
99	речи как	2	4
100	тем же	3	4
101	той же	3	4
102	во всяком	2	4
103	могло бы	2	4
104	этого слова	2	4
105	и это	3	4
106	там где	2	4
107	но на	2	3
108	в себя	4	3
109	оно является	2	3
110	на этом	3	3
111	и сам	5	3
112	в самом	9	3
113	в него	6	3
114	в котором	5	3
115	если в	2	3
116	и их	3	3
117	на том	2	3
118	значение в	2	3
119	другой стороны	3	3
120	отличается от	3	3
121	по отношению	5	3
122	в которых	2	3
123	в результате	2	3
124	их в	3	3
125	между тем	2	3
126	во всем	4	3
127	как он	3	3
128	не как	3	3
129	в жизни	5	3
130	его к	2	3
131	или иной	2	3
132	сами по	2	3
133	или менее	3	3
134	когда он	2	3
135	если мы	5	3
136	между ними	10	3
137	этот вопрос	2	3
138	которые в	2	3
139	не могли	2	3
140	того как	2	3
141	слова в	13	2
142	то же	6	2
143	все время	2	2
144	мы будем	2	2
145	в этих	4	2
146	и одновременно	2	2
147	для нас	2	2
148	слова мы	2	2
149	так что	2	2
150	но все	2	2
151	мы и	3	2
152	смысле слова	2	2
153	к области	2	2
154	к другим	2	2
155	хотя и	6	2
156	той или	2	2
157	в нем	17	2
158	к внутренней	2	2
159	в корне	2	2
160	для этого	2	2
161	и только	3	2
162	и других	4	2
163	того и	2	2
164	должно быть	4	2
165	на себя	4	2
166	от одного	2	2
167	и здесь	4	2
168	слово с	5	2
169	бы в	3	2
170	между двумя	3	2
171	с его	5	2
172	к жизни	2	2
173	которого оно	2	2
174	к другому	5	2
175	и во	3	2
176	и другого	2	2
177	в одном	11	2
178	с нею	2	2
179	этом смысле	2	2
180	об этом	2	2
181	словом как	2	2
182	одна из	2	2
183	о котором	2	2
184	все что	2	2
185	очень часто	4	2
186	есть и	2	2
187	указывает на	2	2
188	отношению к	5	2
189	в мире	3	2
190	слова не	2	2
191	в своей	3	2
192	внутренне не	2	2
193	уже не	4	2
194	в речи	3	2
195	на этот	2	2
196	направленных на	3	2
197	и для	3	2
198	речь в	2	2
199	и его	6	2
200	или в	8	2
201	в себе	7	2
202	слова от	2	2
203	а как	2	2
