N	3gram	Medvedev_F_3	Marksizm
1	с точки зрения	14	13
2	не может быть	14	10
3	то же время	7	8
4	в то же	7	8
5	по отношению к	3	8
6	в связи с	4	7
7	в том что	3	6
8	для того чтобы	4	6
9	в самом деле	4	5
10	в большинстве случаев	4	5
11	то же самое	3	5
12	смысле этого слова	2	4
13	то ни было	4	4
14	бы то ни	4	4
15	на самом деле	12	4
16	к тому что	2	3
17	мы ни взяли	2	3
18	на самом же	2	3
19	вовсе не является	3	3
20	данной социальной группы	2	3
21	в отличие от	2	3
22	и не может	4	3
23	как мы видели	2	3
24	в направлении к	4	3
25	в высшей степени	2	3
26	самом же деле	2	3
27	точки зрения самого	2	2
28	в следующей главе	2	2
29	в процессе его	2	2
30	мы уже знаем	2	2
31	так и от	2	2
32	и тем же	2	2
33	в зависимости от	5	2
34	во всяком случае	6	2
35	одним и тем	2	2
36	в неразрывной связи	2	2
37	а не в	3	2
