N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	29
2	и не	20	16
3	и все	4	13
4	как и	4	12
5	но в	3	12
6	так и	4	11
7	в этом	4	11
8	не только	2	10
9	в конце	3	9
10	но и	5	9
11	все эти	3	9
12	прежде всего	2	8
13	в его	4	8
14	как бы	5	8
15	в них	3	7
16	в том	3	7
17	так как	9	7
18	это не	2	5
19	в нем	4	5
20	в своей	3	5
21	с его	3	4
22	в образе	4	4
23	что он	4	4
24	но это	3	4
25	еще не	8	4
26	и есть	4	4
27	один из	2	4
28	то что	9	4
29	жизни и	3	4
30	конечно не	2	4
31	все это	5	4
32	тем что	2	4
33	мы слышим	2	4
34	превращается в	3	3
35	том что	2	3
36	и сам	2	3
37	тот же	3	3
38	того что	5	3
39	и любви	2	3
40	и они	3	3
41	и за	2	3
42	того чтобы	2	3
43	в ней	4	3
44	в чем	3	3
45	в этих	3	2
46	мир и	2	2
47	в жизни	3	2
48	но мы	2	2
49	его к	2	2
50	к тому	3	2
51	ни в	3	2
52	да и	2	2
53	что я	3	2
54	что они	7	2
55	но не	2	2
56	в себя	2	2
57	и мы	3	2
58	хотя и	5	2
59	никогда не	3	2
60	уже не	2	2
61	в котором	4	2
62	и для	3	2
63	его и	2	2
64	и то	2	2
65	их в	3	2
66	только в	2	2
67	и это	2	2
68	нет ничего	3	2
69	с ним	2	2
