N	2gram	Vinokur_Ku_3	slovoVRo
1	и в	23	39
2	может быть	14	37
3	и т	54	35
4	т п	41	33
5	не только	17	24
6	и не	10	22
7	но и	3	21
8	не может	6	20
9	все это	2	16
10	в этом	16	16
11	так и	6	15
12	а не	11	14
13	слова в	4	13
14	как в	4	13
15	отличие от	2	13
16	в пределах	2	13
17	в процессе	3	13
18	литературного языка	3	12
19	в отличие	2	12
20	слово в	3	11
21	вовсе не	5	10
22	не в	5	9
23	языка и	2	9
24	и с	3	9
25	прежде всего	9	8
26	слова и	7	8
27	таким образом	9	8
28	точки зрения	23	8
29	языка как	4	7
30	при этом	6	7
31	еще не	9	7
32	в его	11	7
33	как бы	5	7
34	в этих	2	7
35	язык и	2	7
36	как мы	5	7
37	могут быть	6	7
38	о слове	5	7
39	и к	3	6
40	этом случае	4	6
41	все же	5	6
42	как и	5	6
43	в своем	4	6
44	языка в	6	6
45	но не	3	6
46	она не	3	6
47	в сущности	4	6
48	там где	3	6
49	все эти	7	6
50	в слове	4	6
51	так сказать	2	6
52	но в	2	6
53	не могут	5	5
54	с другой	7	5
55	это не	3	5
56	по себе	6	5
57	для нас	4	5
58	том что	11	5
59	но все	2	5
60	или иной	7	5
61	одной стороны	4	5
62	только в	6	5
63	в том	22	5
64	той или	5	5
65	один из	4	5
66	с одной	4	5
67	уже не	8	5
68	остается в	2	5
69	конечно не	2	5
70	не менее	12	4
71	поэтическое слово	2	4
72	язык не	2	4
73	на фоне	7	4
74	ни в	3	4
75	отношению к	2	4
76	зависимости от	8	4
77	этого языка	3	4
78	в зависимости	7	4
79	в отношении	3	4
80	по отношению	3	4
81	для этого	6	4
82	то же	6	4
83	с помощью	6	4
84	в той	4	4
85	в таком	4	4
86	а в	5	4
87	с другими	2	4
88	языка но	3	4
89	xix века	3	4
90	в то	3	4
91	отношение к	3	4
92	его в	2	4
93	здесь не	2	4
94	так как	9	4
95	что в	13	3
96	точку зрения	2	3
97	хотя бы	9	3
98	не столько	4	3
99	отметить что	3	3
100	должна быть	3	3
101	не с	2	3
102	сама по	2	3
103	не исчерпывает	2	3
104	что и	6	3
105	точек зрения	2	3
106	но это	5	3
107	нашей темы	2	3
108	связи с	6	3
109	на этом	2	3
110	и как	2	3
111	слов и	5	3
112	как к	2	3
113	в ней	3	3
114	в некоторых	2	3
115	собственном смысле	2	3
116	и дальше	2	3
117	бы и	3	3
118	в свете	2	3
119	лишь в	8	3
120	а также	4	3
121	с точки	16	3
122	той же	3	3
123	п все	2	3
124	литературный язык	4	3
125	сказать что	7	3
126	между тем	4	3
127	может иметь	3	3
128	еще раз	2	3
129	говорить о	6	3
130	в особенности	2	3
131	в чем	5	3
132	как это	7	3
133	во всяком	2	3
134	чем в	2	2
135	а лишь	3	2
136	в данном	7	2
137	уже в	3	2
138	не было	4	2
139	и более	3	2
140	независимо от	5	2
141	хотя и	5	2
142	однако в	2	2
143	в нашем	7	2
144	п но	3	2
145	того как	7	2
146	тогда когда	4	2
147	п в	3	2
148	как например	2	2
149	только о	2	2
150	материал для	2	2
151	и здесь	2	2
152	что он	6	2
153	она может	2	2
154	в дальнейшем	2	2
155	речи как	3	2
156	на протяжении	2	2
157	более или	2	2
158	как о	3	2
159	в поэзии	5	2
160	за пределы	2	2
161	лишь о	2	2
162	значение в	2	2
163	слова как	2	2
164	связи и	2	2
165	точка зрения	4	2
166	не все	2	2
167	но мы	2	2
168	сих пор	8	2
169	мы видели	3	2
170	то что	4	2
171	вместе с	2	2
172	подчеркнуть что	2	2
173	те же	7	2
174	все они	2	2
175	на него	3	2
176	в различных	2	2
177	или менее	2	2
178	а именно	3	2
179	в их	6	2
180	кроме того	2	2
181	отличается от	2	2
182	так в	2	2
183	в языке	7	2
184	смысл и	2	2
185	в связи	5	2
186	т д	8	2
187	от нас	2	2
188	именно в	3	2
189	еще более	2	2
190	это и	3	2
191	на материале	2	2
192	мы не	3	2
193	они не	3	2
194	именно на	2	2
195	как слово	2	2
196	того чтобы	11	2
197	для того	12	2
198	также и	5	2
199	в результате	3	2
200	и при	2	2
201	он не	3	2
202	эти слова	2	2
203	далеко не	5	2
204	к его	2	2
205	но как	3	2
206	не знает	2	2
207	о формах	2	2
208	установка на	3	2
209	о том	6	2
210	как он	2	2
211	зрения на	3	2
212	которые в	4	2
213	можно говорить	10	2
214	здесь как	2	2
215	в области	14	2
216	в одном	2	2
217	до сих	8	2
