N	2gram	Vygotskiy__5	Problema
1	то есть	13	46
2	в его	4	43
3	и не	6	42
4	и в	30	38
5	эстетический объект	3	37
6	не может	9	27
7	может быть	11	26
8	как бы	19	22
9	по отношению	2	21
10	и с	2	17
11	и его	6	16
12	в нем	7	15
13	в этом	14	15
14	и т	7	14
15	прежде всего	4	13
16	только в	5	13
17	т п	3	13
18	в искусстве	6	12
19	но не	7	12
20	ни в	3	11
21	художественного произведения	3	11
22	во всех	2	11
23	и для	6	11
24	в их	3	10
25	таким образом	20	10
26	художественной формы	3	9
27	но и	6	9
28	не только	16	9
29	имеет дело	4	9
30	в том	27	8
31	и как	7	8
32	точки зрения	7	8
33	было бы	5	8
34	то что	37	8
35	художественное произведение	5	8
36	что в	24	7
37	с другой	9	7
38	с помощью	2	7
39	не в	8	7
40	в самом	14	7
41	как и	6	7
42	еще не	5	7
43	совершенно не	6	7
44	в своей	4	7
45	как мы	5	7
46	содержания и	4	6
47	и наконец	3	6
48	а в	4	6
49	не есть	4	6
50	все же	7	6
51	дело с	5	6
52	самом деле	8	6
53	с точки	2	6
54	мы можем	7	6
55	там где	4	6
56	отношения к	2	6
57	ничего не	2	6
58	то же	7	5
59	в своем	6	5
60	это не	3	5
61	формы и	3	5
62	дело и	3	5
63	при этом	8	5
64	имеет место	3	5
65	никогда не	9	5
66	все эти	2	5
67	должно быть	2	5
68	рядом с	5	5
69	в основе	7	5
70	в них	4	5
71	художественном произведении	2	5
72	на содержание	2	5
73	и о	3	5
74	так и	3	5
75	в отличие	2	5
76	а не	8	5
77	могут быть	8	5
78	отличие от	2	5
79	должна быть	2	4
80	в нашем	2	4
81	на самом	2	4
82	в ней	4	4
83	в виду	4	4
84	другой стороны	5	4
85	данном случае	3	4
86	в форме	2	4
87	и только	3	4
88	которых мы	4	4
89	сказать что	9	4
90	в то	2	4
91	о том	10	4
92	и потому	5	4
93	но в	5	4
94	не с	2	4
95	в ее	3	4
96	как вещь	2	4
97	как в	3	4
98	в романе	2	4
99	между ними	2	4
100	хотя бы	3	4
101	можно было	3	4
102	в данном	3	4
103	в себе	5	4
104	как только	4	3
105	себя и	2	3
106	ли мы	2	3
107	одной стороны	12	3
108	несмотря на	5	3
109	искусства и	5	3
110	не является	2	3
111	и тем	6	3
112	в целом	5	3
113	все это	2	3
114	и другими	2	3
115	с одной	12	3
116	которую мы	2	3
117	и даже	2	3
118	и на	3	3
119	все то	2	3
120	а как	2	3
121	если бы	11	3
122	и все	4	3
123	этом смысле	2	3
124	ясно что	6	3
125	и к	4	3
126	том что	21	3
127	от него	4	3
128	мы увидим	9	3
129	он не	3	3
130	входят в	2	3
131	искусства не	2	3
132	приводит к	2	3
133	в таком	3	3
134	не знает	2	3
135	вопроса о	2	3
136	и это	8	3
137	едва ли	2	3
138	чем в	2	2
139	на этом	6	2
140	не могут	3	2
141	и другие	3	2
142	и есть	5	2
143	в частности	4	2
144	искусства как	4	2
145	в этих	3	2
146	материала и	5	2
147	что все	6	2
148	в каждом	2	2
149	первый план	3	2
150	была бы	3	2
151	содержание и	4	2
152	на то	17	2
153	или иной	2	2
154	можно сказать	2	2
155	и понять	2	2
156	что оно	6	2
157	в нашей	2	2
158	искусства в	2	2
159	не можем	4	2
160	в свою	3	2
161	не дает	2	2
162	преодолевает его	2	2
163	по поводу	3	2
164	что это	8	2
165	той или	2	2
166	именно поэтому	2	2
167	в котором	2	2
168	но она	2	2
169	отличается от	2	2
170	этом отношении	3	2
171	чем не	2	2
172	с совершенно	2	2
173	и что	23	2
174	того что	8	2
175	есть только	2	2
176	и здесь	6	2
177	в своих	5	2
178	во всем	2	2
179	о котором	6	2
180	мы должны	3	2
181	же самое	5	2
182	и вся	3	2
183	как это	7	2
184	в него	4	2
185	мы имеем	8	2
186	с его	2	2
187	находит свое	2	2
188	себе не	2	2
189	он должен	8	2
190	к этому	3	2
191	вовсе не	3	2
192	есть не	4	2
193	на первый	2	2
194	о которых	2	2
195	характера и	2	2
196	что он	17	2
197	у нас	4	2
198	по существу	2	2
199	и при	2	2
200	связи с	2	2
201	одна из	3	2
202	лучшем случае	3	2
203	должен быть	2	2
204	что и	3	2
205	и именно	4	2
206	в двух	5	2
207	человека в	3	2
208	в себя	2	2
209	того чтобы	20	2
210	для того	20	2
211	из которых	4	2
212	и эта	2	2
213	со словами	2	2
214	и он	2	2
215	в лучшем	3	2
216	или в	6	2
217	тем что	6	2
218	в другом	3	2
219	показать что	12	2
220	дело в	2	2
221	что эта	4	2
222	не могли	4	2
