N	2gram	Bakhtin_Pr_3	Komedia
1	и в	34	22
2	и не	29	21
3	т е	12	16
4	том что	3	13
5	в том	3	12
6	таким образом	5	12
7	так как	4	11
8	ни в	4	10
9	потому что	12	10
10	в самом	8	9
11	вместе с	4	9
12	если бы	4	8
13	в своем	2	8
14	что он	23	8
15	к ней	2	8
16	в его	22	8
17	что и	5	8
18	в этом	16	8
19	о том	2	8
20	его в	4	8
21	о чем	2	7
22	при этом	4	7
23	то же	14	7
24	только что	3	7
25	а в	5	7
26	в конце	5	7
27	во время	2	6
28	тому же	2	6
29	того же	2	6
30	еще не	4	6
31	к тому	5	6
32	может быть	19	6
33	как раз	4	6
34	самом деле	13	6
35	и что	5	6
36	так что	5	6
37	и его	16	6
38	в то	12	6
39	не менее	3	5
40	что в	7	5
41	же время	12	5
42	прежде всего	15	5
43	что его	3	5
44	и сам	5	5
45	хотя и	3	5
46	не только	10	5
47	в своей	3	5
48	отношение к	6	5
49	из них	5	5
50	не хочет	2	5
51	все это	16	5
52	по отношению	5	5
53	он не	15	5
54	тем что	4	5
55	к нему	14	5
56	в которых	2	5
57	к себе	17	5
58	с ним	8	5
59	но в	16	5
60	он знает	2	4
61	с самого	8	4
62	самого начала	8	4
63	с тем	5	4
64	но все	5	4
65	ипполита и	2	4
66	у него	4	4
67	отнюдь не	2	4
68	однако в	2	4
69	с другой	4	4
70	вовсе не	11	4
71	нет и	3	4
72	все же	7	4
73	не в	9	4
74	до конца	3	4
75	в ней	3	4
76	и т	8	4
77	то что	11	4
78	когда он	2	4
79	но и	12	4
80	на него	7	4
81	т п	6	4
82	в отношении	9	4
83	а не	9	4
84	и для	8	4
85	друг друга	2	4
86	так же	8	4
87	точки зрения	8	4
88	в себе	6	4
89	бы в	3	4
90	так и	6	4
91	не является	2	4
92	хотя бы	5	4
93	и с	15	4
94	с его	6	3
95	обращается к	2	3
96	никогда не	8	3
97	в них	2	3
98	в глаза	3	3
99	то ни	4	3
100	на них	5	3
101	с этой	2	3
102	с этим	2	3
103	если не	3	3
104	по всему	2	3
105	в нем	19	3
106	далеко не	3	3
107	нисколько не	2	3
108	и к	12	3
109	тем не	2	3
110	в ее	3	3
111	как и	18	3
112	в начале	4	3
113	по своему	3	3
114	было бы	2	3
115	отца не	2	3
116	бы он	4	3
117	конечно не	2	3
118	как бы	27	3
119	один из	2	3
120	и мысли	2	3
121	отношению к	6	3
122	в целом	5	3
123	не может	19	3
124	все равно	4	3
125	что не	7	3
126	с точки	4	3
127	столь же	2	3
128	и даже	7	3
129	их в	3	3
130	во всяком	5	3
131	не о	4	3
132	теперь же	2	3
133	говорить о	3	3
134	не знает	6	3
135	как он	3	3
136	из своего	4	3
137	в которой	2	3
138	ничего не	4	3
139	всяком случае	5	3
140	под влиянием	3	2
141	на вопрос	4	2
142	остается в	2	2
143	уже в	3	2
144	правда он	2	2
145	отрывок из	2	2
146	все время	5	2
147	ни было	4	2
148	себя и	8	2
149	и без	2	2
150	не как	3	2
151	как в	4	2
152	к концу	3	2
153	это не	5	2
154	и все	19	2
155	в одном	5	2
156	именно потому	2	2
157	это в	2	2
158	а как	2	2
159	к своему	5	2
160	мы знаем	2	2
161	этом случае	2	2
162	отличие от	2	2
163	из его	4	2
164	за ним	2	2
165	что они	6	2
166	бы то	4	2
167	что с	3	2
168	в пределах	6	2
169	тот же	2	2
170	не мог	5	2
171	и если	2	2
172	на его	4	2
173	в сущности	11	2
174	с уже	2	2
175	за пределы	2	2
176	при всей	2	2
177	которым он	6	2
178	в произведениях	2	2
179	конце концов	3	2
180	и он	2	2
181	в котором	3	2
182	был бы	2	2
183	и со	2	2
184	не с	2	2
185	я ведь	5	2
186	раз в	2	2
187	во всех	2	2
188	как мы	7	2
189	другой стороны	3	2
190	бы не	2	2
191	не было	2	2
192	в мире	4	2
193	отказаться от	2	2
194	с другими	4	2
195	и на	6	2
196	здесь и	2	2
197	тому что	2	2
198	между тем	3	2
199	и во	3	2
200	нуждается в	3	2
201	он и	5	2
202	и ее	2	2
203	нет ни	2	2
204	в другом	8	2
205	и это	4	2
206	что ты	5	2
207	в виду	3	2
