N	2gram	Berdyaev_V_1	SlovoVZh
1	как бы	5	13
2	и в	16	12
3	и не	20	10
4	так как	9	9
5	прежде всего	2	8
6	для нас	2	7
7	в нем	4	6
8	в том	3	6
9	только в	2	6
10	в ней	4	6
11	в жизни	3	5
12	то что	9	5
13	должна быть	3	5
14	никогда не	3	5
15	а не	7	5
16	хотя бы	3	5
17	как и	4	5
18	том что	2	5
19	что мы	4	5
20	но в	3	5
21	жизни и	3	4
22	так и	4	4
23	уже не	2	4
24	что не	4	4
25	не в	3	4
26	в этом	4	4
27	не только	2	4
28	в котором	4	3
29	в них	3	3
30	не к	2	3
31	в своей	3	3
32	все это	5	3
33	ее и	2	3
34	все эти	3	3
35	но и	5	3
36	того что	5	3
37	ни в	3	3
38	да и	2	3
39	мы не	2	3
40	для него	2	3
41	еще не	8	3
42	и для	3	3
43	конечно не	2	3
44	с ним	2	3
45	между тем	2	3
46	но мы	2	2
47	с его	3	2
48	что и	3	2
49	что в	3	2
50	как не	3	2
51	значения и	2	2
52	а к	2	2
53	в этих	3	2
54	в форме	2	2
55	нет ничего	3	2
56	это не	2	2
57	и все	4	2
58	в себя	2	2
59	его к	2	2
60	и что	3	2
61	не есть	6	2
62	не так	2	2
63	но это	3	2
64	и то	2	2
65	нас и	3	2
66	но не	2	2
67	могут быть	2	2
68	есть уже	2	2
69	оно не	3	2
70	в чем	3	2
71	в его	4	2
72	и потому	7	2
