N	2gram	Trubetskoy_1	DiskursI
1	в себе	5	19
2	при этом	9	17
3	и в	23	16
4	может быть	16	16
5	как и	9	16
6	в этом	12	16
7	и не	8	15
8	в частности	2	12
9	отличие от	3	12
10	то есть	2	12
11	в мире	6	11
12	но и	9	11
13	тогда как	6	11
14	но в	4	11
15	том что	19	10
16	не только	7	10
17	так и	10	9
18	не может	17	9
19	в том	30	8
20	не менее	7	7
21	прежде всего	3	7
22	в нем	3	7
23	но не	2	7
24	в данном	3	7
25	отнюдь не	2	6
26	еще не	5	6
27	все же	13	6
28	данном случае	3	6
29	то же	4	6
30	тем самым	3	6
31	в своих	2	6
32	по своей	7	6
33	а с	4	5
34	что в	8	5
35	в своем	10	5
36	с другой	6	5
37	же время	2	5
38	для него	2	5
39	то что	18	5
40	и на	6	5
41	в то	6	5
42	я в	2	5
43	к этому	5	4
44	одной стороны	2	4
45	как бы	10	4
46	отношению к	9	4
47	по отношению	9	4
48	с одной	3	4
49	ни для	2	4
50	потому что	9	4
51	в основе	2	4
52	можно назвать	3	4
53	одно из	3	4
54	точки зрения	13	4
55	в этой	6	4
56	и то	4	4
57	о том	7	4
58	и может	3	3
59	в этих	3	3
60	в них	2	3
61	столь же	5	3
62	это не	3	3
63	из этих	8	3
64	и все	7	3
65	и того	3	3
66	не в	8	3
67	он не	3	3
68	в его	5	3
69	из двух	2	3
70	в котором	2	3
71	из них	5	3
72	жизни и	2	3
73	и ее	2	3
74	не было	2	3
75	однако при	2	3
76	иначе говоря	4	3
77	все эти	19	3
78	и наконец	3	3
79	также и	2	3
80	как на	4	3
81	одного и	3	3
82	в другом	2	3
83	не знает	2	3
84	как будто	5	3
85	только в	6	3
86	его в	5	3
87	же как	3	2
88	никогда не	4	2
89	же касается	2	2
90	не подлежит	3	2
91	в целом	5	2
92	вследствие этого	2	2
93	этом случае	4	2
94	к которой	3	2
95	на первый	2	2
96	что он	7	2
97	а к	2	2
98	такой же	2	2
99	есть в	2	2
100	того же	9	2
101	должна быть	5	2
102	отношение к	4	2
103	в ней	3	2
104	далеко не	5	2
105	на почве	3	2
106	для себя	2	2
107	что и	7	2
108	с ее	2	2
109	с точки	8	2
110	гораздо менее	2	2
111	вместе с	6	2
112	заключает в	2	2
113	что же	2	2
114	именно в	5	2
115	и состоит	2	2
116	в себя	2	2
117	сводится к	2	2
118	все это	11	2
119	не более	2	2
120	другой стороны	5	2
121	и для	6	2
122	должно быть	4	2
123	а в	3	2
124	что как	4	2
125	в результате	9	2
126	их в	2	2
127	и с	5	2
128	говорить о	2	2
129	и это	3	2
130	в области	4	2
131	между тем	12	2
