N	2gram	Tiupa_Hudo_1	Psycholo
1	в том	12	37
2	и в	14	32
3	и что	2	22
4	том что	16	21
5	то что	8	21
6	потому что	5	21
7	что в	6	20
8	может быть	5	18
9	не может	7	17
10	точки зрения	5	17
11	что она	4	16
12	самом деле	5	16
13	того чтобы	3	14
14	что он	9	13
15	при этом	12	13
16	то же	9	13
17	в этом	11	13
18	по себе	2	12
19	в самом	4	12
20	не только	12	12
21	с и	2	12
22	на то	4	11
23	было бы	6	11
24	как и	9	10
25	и т	11	10
26	но и	5	10
27	и не	2	10
28	с точки	3	10
29	никогда не	6	9
30	что при	3	9
31	как в	8	9
32	в своих	3	9
33	тем что	3	9
34	не менее	5	8
35	не в	7	8
36	т п	8	8
37	той же	2	8
38	того что	4	8
39	к тому	7	7
40	ясно что	2	7
41	мы знаем	2	7
42	такой же	3	7
43	а не	12	7
44	все эти	3	7
45	можно было	5	7
46	и его	5	7
47	как будто	4	7
48	только в	5	7
49	в этой	8	6
50	он не	4	6
51	как бы	7	6
52	в художественном	2	6
53	о том	12	6
54	если бы	3	6
55	отнюдь не	3	5
56	что у	3	5
57	в ней	4	5
58	до сих	2	5
59	сих пор	2	5
60	все это	2	5
61	как раз	4	5
62	этом отношении	3	5
63	на самом	2	5
64	только на	2	5
65	и даже	3	5
66	и на	3	5
67	в то	8	5
68	же как	2	4
69	столь же	4	4
70	едва ли	3	4
71	с этой	2	4
72	что на	2	4
73	тем не	4	4
74	в действительности	4	4
75	несмотря на	4	4
76	иначе говоря	2	4
77	никак не	2	4
78	и когда	3	4
79	и по	3	4
80	в нем	3	4
81	все же	3	4
82	с той	2	4
83	из них	4	4
84	жизни и	5	4
85	а в	7	4
86	и все	4	4
87	не имеет	2	4
88	и для	3	4
89	тому что	4	4
90	и с	4	4
91	с этим	3	4
92	в целом	2	4
93	и это	4	4
94	в творчестве	3	4
95	ничего не	8	4
96	как она	2	4
97	и поэтому	2	4
98	между тем	8	4
99	по своему	3	3
100	легко заметить	2	3
101	состоит в	2	3
102	в частности	5	3
103	конечном счете	2	3
104	но он	3	3
105	в конце	4	3
106	и к	4	3
107	а только	4	3
108	об этом	5	3
109	так что	2	3
110	но как	2	3
111	до конца	2	3
112	на тех	3	3
113	например в	2	3
114	в своей	10	3
115	один из	4	3
116	с ее	2	3
117	так и	13	3
118	и так	2	3
119	в их	2	3
120	что же	2	3
121	на этом	3	3
122	что не	2	3
123	в конечном	2	3
124	и он	5	3
125	как к	3	3
126	действующих лиц	2	3
127	того или	2	3
128	художественного построения	3	3
129	та же	4	3
130	но в	5	3
131	видит в	3	3
132	мы не	2	3
133	слова в	2	2
134	на вопрос	2	2
135	с его	5	2
136	казалось бы	7	2
137	это не	7	2
138	и от	4	2
139	они в	2	2
140	это в	3	2
141	или иного	2	2
142	интерес к	5	2
143	ни в	5	2
144	же время	8	2
145	еще не	7	2
146	но не	3	2
147	она не	4	2
148	на его	2	2
149	не имеют	3	2
150	только потому	2	2
151	в его	8	2
152	в него	2	2
153	если в	2	2
154	в ее	3	2
155	для нее	2	2
156	том как	3	2
157	произведения с	2	2
158	как он	2	2
159	его жизни	2	2
160	в этих	5	2
161	на том	2	2
162	на него	2	2
163	заключает в	2	2
164	себе и	2	2
165	так в	2	2
166	согласиться с	2	2
167	т д	3	2
168	а с	2	2
169	не было	4	2
170	к своему	2	2
171	и другое	2	2
172	в таком	3	2
173	которых может	2	2
174	в первый	2	2
175	в себе	11	2
176	с того	2	2
177	заметить что	2	2
178	которая не	2	2
179	то чтобы	2	2
