N	2gram	Propp_Morf_1	VelikijI
1	и не	12	20
2	и в	13	16
3	то что	8	9
4	так как	16	9
5	еще не	3	8
6	что они	2	7
7	а не	11	7
8	хотя и	3	5
9	как бы	3	5
10	но и	4	5
11	того что	3	5
12	и есть	2	4
13	в образе	4	4
14	что он	4	4
15	как и	3	4
16	что мы	2	4
17	так и	6	4
18	потому что	3	4
19	в этом	14	4
20	говорить о	3	4
21	с его	2	3
22	что в	8	3
23	в этих	13	3
24	в том	6	3
25	не в	3	3
26	но это	6	3
27	к тому	4	3
28	во всех	4	3
29	оно не	2	3
30	то это	3	3
31	что и	7	3
32	тому что	4	3
33	и что	2	3
34	к чему	3	3
35	не имеет	2	3
36	хотя бы	4	3
37	и для	2	3
38	все эти	2	3
39	но в	2	3
40	не могут	4	2
41	с тем	2	2
42	его и	2	2
43	это не	6	2
44	прежде всего	9	2
45	для нас	2	2
46	том что	4	2
47	одна из	4	2
48	но не	4	2
49	они и	3	2
50	в последнем	2	2
51	того чтобы	3	2
52	вслед за	5	2
53	не только	4	2
54	один из	5	2
55	но мы	3	2
56	не с	2	2
57	и т	41	2
58	и за	2	2
59	в форме	6	2
60	т д	39	2
61	а с	2	2
62	тем что	4	2
63	мы не	8	2
64	уже не	2	2
65	а в	7	2
66	можно было	2	2
67	между тем	5	2
68	могут быть	16	2
69	самого себя	2	2
70	только в	2	2
71	во всяком	2	2
