N	2gram	Bakhtin_fo_2	Problemy
1	и в	46	46
2	то есть	10	40
3	и не	9	27
4	может быть	7	23
5	как бы	10	19
6	не может	2	19
7	в нем	5	17
8	в этом	22	16
9	не только	11	14
10	и т.п	2	14
11	но и	9	12
12	как и	8	12
13	как мы	6	12
14	и на	7	11
15	точки зрения	10	11
16	в одном	7	11
17	а не	4	11
18	не в	9	10
19	в пределах	5	10
20	между ними	2	10
21	прежде всего	14	9
22	в том	10	9
23	в большинстве	3	9
24	и все	6	9
25	вовсе не	13	9
26	и к	2	9
27	в его	8	9
28	с точки	8	9
29	большинстве случаев	3	8
30	до сих	2	8
31	конечно не	4	8
32	сих пор	2	8
33	и с	6	7
34	по себе	2	7
35	еще не	6	7
36	в сущности	2	7
37	в себе	4	7
38	слова и	3	7
39	никогда не	6	6
40	но это	2	6
41	хотя и	3	6
42	к себе	4	6
43	но в	10	6
44	что он	3	6
45	в романе	13	6
46	то же	8	6
47	все это	6	6
48	и он	4	6
49	и его	12	6
50	только в	11	6
51	это не	2	5
52	же время	4	5
53	при этом	6	5
54	друг с	4	5
55	в котором	4	5
56	жизни и	8	5
57	в самой	2	5
58	особенно в	2	5
59	рядом с	2	5
60	в то	5	5
61	так как	6	5
62	у него	9	5
63	о том	4	5
64	во всех	11	5
65	с другом	4	5
66	так сказать	7	5
67	том числе	3	4
68	уже в	4	4
69	что в	5	4
70	в этих	3	4
71	очень часто	2	4
72	можно сказать	2	4
73	до конца	2	4
74	кроме того	3	4
75	к ним	2	4
76	в виду	3	4
77	в их	3	4
78	таким образом	3	4
79	все эти	5	4
80	и других	2	4
81	и наконец	6	4
82	должно быть	5	4
83	людей и	2	4
84	потому что	8	4
85	не знает	2	4
86	как в	4	4
87	том что	4	4
88	но не	5	4
89	на границе	3	4
90	том же	4	4
91	он не	5	4
92	все же	6	4
93	то что	7	4
94	но эти	3	4
95	так и	7	4
96	себе самому	3	4
97	в себя	2	4
98	уже не	3	4
99	здесь не	2	4
100	и другие	3	3
101	себя и	3	3
102	в отношении	2	3
103	с другой	2	3
104	из этих	4	3
105	человека и	4	3
106	словом и	2	3
107	в мире	4	3
108	в своем	5	3
109	на этом	2	3
110	числе и	2	3
111	и идеи	3	3
112	и для	9	3
113	отношение к	3	3
114	и их	4	3
115	и до	2	3
116	так же	2	3
117	и только	2	3
118	с помощью	3	3
119	и даже	3	3
120	также и	4	3
121	тон и	2	3
122	но он	2	3
123	самим собою	2	3
124	имеем в	3	3
125	в конце	2	3
126	как он	2	3
127	их в	4	3
128	мы имеем	2	3
129	и во	6	3
130	но здесь	2	3
131	и несколько	2	3
132	по существу	5	3
133	того же	3	3
134	она не	2	3
135	было бы	2	3
136	мы уже	9	3
137	и о	2	3
138	что и	3	3
139	еще более	4	3
140	в той	2	3
141	тем же	2	3
142	почти всегда	2	3
143	жизнь и	3	3
144	значение для	2	3
145	тем что	3	3
146	в этой	2	3
147	далеко не	2	3
148	и это	2	3
149	смех и	2	2
150	отчасти и	3	2
151	в одной	2	2
152	переходим к	3	2
153	или иной	2	2
154	к тому	3	2
155	все в	2	2
156	без всякого	2	2
157	мы будем	3	2
158	следовательно и	3	2
159	так что	4	2
160	и как	3	2
161	смысле слова	2	2
162	эпохи возрождения	3	2
163	для него	3	2
164	в плоскости	2	2
165	вернемся к	3	2
166	если в	2	2
167	целый ряд	3	2
168	влияние на	2	2
169	отношения к	4	2
170	не было	3	2
171	те же	6	2
172	лишь в	2	2
173	и по	3	2
174	а в	3	2
175	этого романа	2	2
176	в которых	3	2
177	друг на	2	2
178	и совершенно	3	2
179	и так	2	2
180	на друга	2	2
181	с ним	4	2
182	с этим	5	2
183	а следовательно	3	2
184	в духе	2	2
185	у нас	2	2
186	все что	2	2
187	есть и	4	2
188	здесь в	6	2
189	уже сказали	3	2
190	в корне	2	2
191	в заключение	2	2
192	нет и	3	2
193	и времени	6	2
194	сами по	2	2
195	и пр	2	2
196	вместе с	9	2
197	и они	3	2
198	связи между	2	2
199	у рабле	18	2
200	в данном	2	2
201	во всяком	2	2
202	от этого	2	2
203	автора и	2	2
204	могут быть	2	2
205	в другом	3	2
206	ту же	2	2
207	в поэзии	2	2
208	видения и	2	2
209	там где	2	2
210	не могли	3	2
211	одном из	2	2
