N	2gram	Propp_Russ_2	Narrotol
1	не только	10	31
2	но и	8	27
3	при этом	6	19
4	может быть	13	15
5	в качестве	3	14
6	как и	11	13
7	а не	4	13
8	а в	9	13
9	в этом	11	12
10	и в	29	11
11	в данном	6	11
12	состоит в	15	10
13	тогда как	2	10
14	то что	5	9
15	то же	4	8
16	в том	22	8
17	данном случае	7	8
18	не может	5	8
19	уже не	4	8
20	представляет собой	2	8
21	том что	22	7
22	но в	5	7
23	об этом	2	6
24	а также	4	6
25	не в	4	6
26	как бы	18	6
27	один из	2	6
28	или в	7	6
29	в этой	3	6
30	на другой	2	5
31	в своей	2	5
32	и на	6	5
33	потому что	5	5
34	о чем	4	4
35	никогда не	2	4
36	из этих	2	4
37	что на	2	4
38	все же	2	4
39	но не	5	4
40	прежде всего	2	4
41	еще не	6	4
42	к нему	4	4
43	этом и	2	4
44	из них	4	4
45	как в	7	4
46	так в	2	4
47	того что	3	4
48	того чтобы	6	4
49	на себя	2	4
50	в то	2	4
51	о том	9	4
52	одна из	11	4
53	из наиболее	2	4
54	не менее	2	3
55	тому как	3	3
56	что в	22	3
57	это не	5	3
58	другой день	2	3
59	не всегда	3	3
60	тем не	2	3
61	у нас	4	3
62	и как	2	3
63	о воскресении	3	3
64	в поле	19	3
65	для того	6	3
66	и о	3	3
67	еще в	2	3
68	начиная с	2	3
69	не было	2	3
70	именно в	4	3
71	о них	2	3
72	мы не	6	3
73	и то	2	3
74	их в	4	3
75	и с	10	3
76	подобно тому	3	3
77	и ее	2	3
78	и все	4	3
79	представляют собой	7	3
80	в состав	2	3
81	как это	4	3
82	мы имеем	6	3
83	между тем	3	3
84	по полю	4	2
85	для них	2	2
86	если она	2	2
87	в этих	3	2
88	между собой	2	2
89	а на	9	2
90	них как	2	2
91	а за	4	2
92	как мы	3	2
93	же в	6	2
94	человека который	2	2
95	переход от	2	2
96	и после	3	2
97	до конца	3	2
98	она не	3	2
99	к жизни	5	2
100	не имеет	3	2
101	на две	2	2
102	или просто	2	2
103	вместе с	6	2
104	дело не	2	2
105	в форме	2	2
106	где они	2	2
107	жизни в	2	2
108	в отличие	3	2
109	и через	3	2
110	в году	3	2
111	с другой	2	2
112	и для	2	2
113	друг друга	3	2
114	на святках	5	2
115	отличие от	3	2
116	в таком	4	2
117	каждый из	2	2
118	и от	3	2
119	и еще	2	2
120	связи с	2	2
121	та же	2	2
122	за пределами	2	2
