N	2gram	Berdyaev_M_1	VerxiiNi
1	и в	28	26
2	с тем	9	18
3	вместе с	6	15
4	в этом	20	15
5	точки зрения	4	13
6	как бы	2	12
7	в том	6	11
8	может быть	30	10
9	не только	29	10
10	и с	3	10
11	что в	10	9
12	но и	25	9
13	так как	3	9
14	но не	8	8
15	и не	11	8
16	и у	2	8
17	том что	3	7
18	к нему	7	7
19	то что	5	7
20	потому что	16	7
21	но в	7	7
22	в конце	7	6
23	к тому	3	6
24	и потому	10	6
25	что и	4	6
26	все же	2	6
27	все это	6	6
28	все эти	2	6
29	в себе	7	6
30	о том	2	6
31	и к	2	5
32	отношение к	4	5
33	до сих	2	5
34	в его	9	5
35	никогда не	14	5
36	сих пор	2	5
37	лишь в	6	5
38	а не	25	5
39	того чтобы	2	5
40	для того	2	5
41	не имеет	3	5
42	и для	2	5
43	в мире	10	5
44	учение о	3	4
45	должен был	4	4
46	в этих	4	4
47	и от	2	4
48	и вместе	4	4
49	что он	10	4
50	в нем	13	4
51	в самом	11	4
52	в котором	8	4
53	не может	28	4
54	а в	4	4
55	и что	2	4
56	на этот	2	4
57	и по	4	4
58	в которых	4	4
59	бога и	10	4
60	он не	24	4
61	в то	2	4
62	только в	6	4
63	то есть	3	4
64	в этой	6	4
65	за собой	2	3
66	если бы	2	3
67	хотя бы	3	3
68	к этому	2	3
69	для него	11	3
70	и как	2	3
71	в своем	10	3
72	и нет	2	3
73	к концу	4	3
74	отношению к	2	3
75	к богу	3	3
76	когда он	3	3
77	с ней	2	3
78	оказывается что	2	3
79	уже не	4	3
80	того что	7	3
81	в которой	6	3
82	и те	2	3
83	с этой	4	3
84	конце концов	2	3
85	уже в	4	2
86	не могут	5	2
87	с его	3	2
88	он в	2	2
89	одно из	3	2
90	связана с	2	2
91	в них	4	2
92	не как	4	2
93	и мир	2	2
94	прежде всего	10	2
95	в свою	2	2
96	в начале	2	2
97	по своему	2	2
98	все что	2	2
99	связано с	2	2
100	этот путь	3	2
101	конечно не	3	2
102	с того	2	2
103	но если	3	2
104	от человека	3	2
105	один из	4	2
106	не к	4	2
107	жизни и	2	2
108	заключает в	3	2
109	приводит к	2	2
110	отличается от	2	2
111	особенно в	3	2
112	добра и	5	2
113	не было	18	2
114	человек должен	6	2
115	у всех	2	2
116	в самой	7	2
117	одним из	2	2
118	его не	3	2
119	на пути	4	2
120	и на	6	2
121	в путях	2	2
122	людей и	2	2
123	сказать что	2	2
124	не в	16	2
125	когда человек	3	2
126	душа его	2	2
127	по своей	2	2
128	по сравнению	2	2
129	и все	10	2
130	и это	12	2
131	в россии	2	2
132	относится к	2	2
133	в виду	2	2
