N	2gram	Savitsky_P_1	formyVre
1	и в	14	50
2	в этом	10	25
3	в нем	3	24
4	прежде всего	3	15
5	и не	12	14
6	как раз	2	13
7	в его	2	13
8	может быть	5	11
9	то же	9	11
10	и как	3	10
11	но в	9	10
12	в том	9	9
13	же время	7	9
14	в то	7	9
15	не только	17	9
16	и т	3	8
17	но и	6	8
18	не было	2	7
19	в частности	2	6
20	это не	3	6
21	например в	2	6
22	не может	4	6
23	с этим	2	6
24	в жизни	2	6
25	во всех	2	6
26	то что	4	6
27	время в	2	6
28	в ее	2	6
29	что в	4	5
30	не в	5	5
31	в пределах	8	5
32	точки зрения	3	5
33	если бы	4	5
34	отнюдь не	2	5
35	но не	3	5
36	наряду с	3	5
37	для того	3	5
38	могут быть	3	5
39	том числе	2	4
40	в своем	4	4
41	в котором	4	4
42	все это	2	4
43	потому что	3	4
44	и с	2	4
45	в ней	6	4
46	именно как	2	4
47	в них	2	4
48	том что	4	4
49	только в	7	4
50	и это	2	4
51	в отношении	10	3
52	да и	2	3
53	с тем	3	3
54	хотя и	3	3
55	отношения к	2	3
56	с одной	3	3
57	именно в	2	3
58	и других	2	3
59	а в	4	3
60	в начале	2	3
61	в порядке	3	3
62	для них	2	3
63	есть не	2	3
64	же в	4	3
65	в качестве	9	3
66	и потому	4	3
67	во всей	2	3
68	еще более	2	3
69	а не	2	3
70	мы не	3	3
71	в себе	3	3
72	друг другу	2	2
73	с другой	5	2
74	для нас	2	2
75	есть в	2	2
76	одной стороны	3	2
77	не о	2	2
78	не к	2	2
79	одних и	2	2
80	того что	2	2
81	в которых	5	2
82	что мы	3	2
83	мы должны	4	2
84	по себе	4	2
85	стороны и	2	2
86	и к	4	2
87	одна из	2	2
88	было бы	6	2
89	а также	4	2
90	по сравнению	2	2
91	как бы	4	2
92	в значительной	2	2
93	с точки	3	2
94	хотя бы	8	2
